Date,biomass,yield,grain_protein,grain_size,esw,lai,grain_protein.1,sws(1),sws(2),sws(3),sws(4),sws(5),sws(6),sw_stress_expan,sw_stress_fixation,sw_stress_pheno,sw_stress_photo,n_stress_pheno,n_stress_expan,n_stress_grain,n_stress_photo,temp_stress_photo_co2,temp_stress_photo,esw.1,eo,es,eos,TTAfterflowering,TTAftergermination,TTAfterharvest_ripe,TTAftermaturity,n_uptake,sw_stress_expan.1,site,year
2022-11-04,0.0,0.0,0.0,0.0,179.917,0.0,0.0,0.258,0.26,0.276,0.318,0.371,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,179.917,2.639,2.383,2.639,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-05,0.0,0.0,0.0,0.0,178.264,0.0,0.0,0.25,0.263,0.265,0.318,0.371,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,178.264,2.628,1.653,2.628,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-06,0.0,0.0,0.0,0.0,177.446,0.0,0.0,0.251,0.258,0.276,0.31,0.371,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,177.446,2.301,0.818,2.301,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-07,0.0,0.0,0.0,0.0,176.815,0.0,0.0,0.251,0.263,0.276,0.318,0.358,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,176.815,2.59,0.631,2.59,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-08,0.0,0.0,0.0,0.0,176.282,0.0,0.0,0.253,0.265,0.267,0.318,0.358,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,176.282,2.344,0.533,2.344,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-09,0.0,0.0,0.0,0.0,175.811,0.0,0.0,0.256,0.261,0.276,0.318,0.351,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,175.811,2.449,0.47,2.449,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-10,0.0,0.0,0.0,0.0,175.386,0.0,0.0,0.255,0.266,0.268,0.318,0.351,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,175.386,2.657,0.425,2.657,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-11,0.0,0.0,0.0,0.0,174.995,0.0,0.0,0.257,0.263,0.276,0.318,0.345,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,174.995,2.618,0.391,2.618,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-12,0.0,0.0,0.0,0.0,177.965,0.0,0.0,0.271,0.276,0.278,0.318,0.346,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,177.965,1.93,1.93,1.93,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
2022-11-13,0.0,0.0,0.0,0.0,186.523,0.0,0.0,0.31,0.307,0.288,0.32,0.346,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,186.523,0.668,0.668,0.668,0.0,0.0,0.0,0.0,0.0,0.0,Plot1.out,2022
