Date,biomass,yield,grain_protein,grain_size,esw,lai,grain_protein.1,sws(1),sws(2),sws(3),sws(4),sws(5),sw_stress_expan,sw_stress_fixation,sw_stress_pheno,sw_stress_photo,n_stress_pheno,n_stress_expan,n_stress_grain,n_stress_photo,temp_stress_photo_co2,temp_stress_photo,esw.1,eo,es,eos,TTAfterflowering,TTAftergermination,TTAfterharvest_ripe,TTAftermaturity,n_uptake,sw_stress_expan.1,site,year
2023-10-29,0.0,0.0,0.0,0.0,187.966,0.0,0.0,0.297,0.294,0.329,0.302,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,187.966,2.554,2.554,2.554,0.0,0.0,0.0,0.0,0.0,0.0,plot1.out,2023
2023-10-30,0.0,0.0,0.0,0.0,185.547,0.0,0.0,0.28,0.294,0.329,0.302,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,185.547,2.419,2.419,2.419,0.0,0.0,0.0,0.0,0.0,0.0,plot1.out,2023
2023-10-31,0.0,0.0,0.0,0.0,184.078,0.0,0.0,0.27,0.294,0.329,0.302,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,184.078,2.071,1.469,2.071,0.0,15.75,0.0,0.0,0.0,0.0,plot1.out,2023
2023-11-01,0.0,0.0,0.0,0.0,181.656,0.0,0.0,0.253,0.294,0.328,0.302,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,181.656,2.602,2.422,2.602,0.0,34.45,0.0,0.0,0.0,0.0,plot1.out,2023
2023-11-02,33.1,0.0,0.0,0.0,180.366,0.144,0.0,0.244,0.294,0.327,0.302,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,180.366,2.828,1.29,2.828,0.0,56.2,0.0,0.0,0.19,0.0,plot1.out,2023
2023-11-03,41.6,0.0,0.0,0.0,179.185,0.158,0.0,0.238,0.294,0.327,0.302,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,179.185,2.555,1.001,2.271,0.0,64.195,0.0,0.0,0.24,0.0,plot1.out,2023
2023-11-04,45.5,0.0,0.0,0.0,181.608,0.165,0.0,0.255,0.294,0.326,0.302,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,181.608,1.069,0.939,0.939,0.0,72.356,0.0,0.0,0.27,0.0,plot1.out,2023
2023-11-05,50.4,0.0,0.0,0.0,192.115,0.173,0.0,0.321,0.302,0.329,0.302,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,192.115,1.357,1.186,1.186,0.0,81.042,0.0,0.0,0.29,0.0,plot1.out,2023
2023-11-06,55.7,0.0,0.0,0.0,207.32,0.182,0.0,0.369,0.349,0.339,0.309,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,207.32,1.26,1.094,1.094,0.0,87.996,0.0,0.0,0.32,0.0,plot1.out,2023
2023-11-07,63.0,0.0,0.0,0.0,205.255,0.194,0.0,0.34,0.337,0.34,0.313,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.915,205.255,1.507,1.3,1.3,0.0,91.597,0.0,0.0,0.37,0.0,plot1.out,2023
2023-11-08,72.9,0.0,0.0,0.0,201.846,0.211,0.0,0.318,0.322,0.338,0.314,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.92,201.846,1.95,1.666,1.666,0.0,95.184,0.0,0.0,0.42,0.0,plot1.out,2023
2023-11-09,77.4,0.0,0.0,0.0,220.823,0.219,0.0,0.372,0.387,0.349,0.321,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,220.823,0.826,0.697,0.697,0.0,100.36,0.0,0.0,0.45,0.0,plot1.out,2023
2023-11-10,86.5,0.0,0.0,0.0,216.412,0.234,0.0,0.341,0.356,0.347,0.324,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.755,216.412,1.827,1.532,1.532,0.0,103.248,0.0,0.0,0.5,0.0,plot1.out,2023
2023-11-11,89.9,0.0,0.0,0.0,211.761,0.24,0.0,0.324,0.33,0.342,0.322,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41,211.761,1.073,0.889,0.889,0.0,104.803,0.0,0.0,0.52,0.0,plot1.out,2023
2023-11-12,92.4,0.0,0.0,0.0,208.059,0.244,0.0,0.319,0.315,0.337,0.318,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.435,208.059,0.727,0.6,0.6,0.0,106.437,0.0,0.0,0.54,0.0,plot1.out,2023
2023-11-13,97.8,0.0,0.0,0.0,203.419,0.253,0.0,0.31,0.305,0.334,0.314,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48,203.419,1.426,1.173,1.173,0.0,108.223,0.0,0.0,0.57,0.0,plot1.out,2023
2023-11-14,103.6,0.0,0.0,0.0,199.493,0.263,0.0,0.304,0.299,0.332,0.31,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.775,199.493,0.995,0.813,0.813,0.0,111.081,0.0,0.0,0.6,0.0,plot1.out,2023
2023-11-15,115.8,0.0,0.0,0.0,195.423,0.283,0.0,0.294,0.296,0.33,0.308,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.945,195.423,1.729,1.403,1.403,0.0,114.536,0.0,0.0,0.67,0.0,plot1.out,2023
2023-11-16,119.6,0.0,0.0,0.0,210.451,0.289,0.0,0.373,0.33,0.336,0.309,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.715,210.451,0.614,0.491,0.491,0.0,117.126,0.0,0.0,0.69,0.0,plot1.out,2023
2023-11-17,123.4,0.0,0.0,0.0,221.923,0.296,0.0,0.372,0.394,0.349,0.319,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,221.923,0.747,0.594,0.594,0.0,119.101,0.0,0.0,0.72,0.0,plot1.out,2023
2023-11-18,125.8,0.0,0.0,0.0,220.67,0.3,0.0,0.359,0.364,0.349,0.324,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.415,220.67,0.62,0.491,0.491,0.0,120.956,0.0,0.0,0.73,0.0,plot1.out,2023
2023-11-19,134.1,0.0,0.0,0.0,215.634,0.314,0.0,0.335,0.34,0.344,0.324,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,215.634,1.136,0.896,0.896,0.0,123.957,0.0,0.0,0.78,0.0,plot1.out,2023
2023-11-20,145.6,0.0,0.0,0.0,210.077,0.333,0.0,0.318,0.321,0.339,0.32,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,210.077,1.659,1.296,1.296,0.0,126.583,0.0,0.0,0.84,0.0,plot1.out,2023
2023-11-21,157.5,0.0,0.0,0.0,204.741,0.353,0.0,0.307,0.307,0.335,0.316,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.74,204.741,1.658,1.277,1.277,0.0,129.152,0.0,0.0,0.91,0.0,plot1.out,2023
2023-11-22,173.6,0.0,0.0,0.0,199.752,0.38,0.0,0.298,0.3,0.332,0.312,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.98,199.752,1.706,1.296,1.296,0.0,132.528,0.0,0.0,1.01,0.0,plot1.out,2023
2023-11-23,189.4,0.0,0.0,0.0,195.517,0.406,0.0,0.288,0.296,0.33,0.308,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,195.517,1.604,1.195,1.195,0.0,136.647,0.0,0.0,1.1,0.0,plot1.out,2023
2023-11-24,192.5,0.0,0.0,0.0,193.035,0.412,0.0,0.286,0.294,0.33,0.306,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37,193.035,0.636,0.393,0.465,0.0,138.244,0.0,0.0,1.12,0.0,plot1.out,2023
