조사지,반복,1수영화수_개화기,CVI_개화기,CVI_개화후2주,CVI_개화후4주,CVI_분얼전기,CVI_분얼후기,CVI_수확기,GNDVI_개화기,GNDVI_개화후2주,GNDVI_개화후4주,GNDVI_분얼전기,GNDVI_분얼후기,GNDVI_수확기,LAI_개화기,LAI_개화후2주,LAI_개화후4주,LAI_분얼전기,LAI_분얼후기,LAI_수확기,NDRE_개화기,NDRE_개화후2주,NDRE_개화후4주,NDRE_분얼전기,NDRE_분얼후기,NDRE_수확기,NDVI_개화기,NDVI_개화후2주,NDVI_개화후4주,NDVI_분얼전기,NDVI_분얼후기,NDVI_수확기,RVI_개화기,RVI_개화후2주,RVI_개화후4주,RVI_분얼전기,RVI_분얼후기,RVI_수확기,SPAD_개화기,SPAD_개화후2주,SPAD_개화후4주,SPAD_분얼전기,SPAD_분얼후기,SPAD_수확기,간장(cm)_개화기,간장(cm)_개화후2주,간장(cm)_개화후4주,간장(cm)_수확기,수량(g/(50*50)cm2)_수확기,수량(g/m2)_수확기,수장(cm)_개화기,수장(cm)_개화후2주,수장(cm)_개화후4주,수장(cm)_수확기,유수길이(mm)_분얼전기,일수립수_수확기,초장(cm)_분얼전기,초장(cm)_분얼후기,관개,시비,파종
Plot 1,1,33,0.060804286078125006,0.054497853484375004,0.06819574238020834,0.03265291759895833,0.037353535098958335,0.057845886140625,0.8378261529166666,0.7901712597916667,0.5981925914583334,0.7101177721354167,0.8049016428125001,0.49509854109375,3.57,2.58,0.57,1.07,2.21,1.23,0.5553898720833333,0.45857807515625,0.13783049211979168,0.4050285625,0.5361740636458333,0.12644252043229168,0.9096724776041666,0.8608002022395834,0.39853155682291663,0.8269377245833334,0.9165230513020833,0.21234669885416668,21.298201052083332,13.56760921875,2.3325626078125,11.128467292708335,23.199022348958334,1.5434354937499999,41.9,26.4,10.6,35.1,40.8,6.1,89,77,73,75,87.377,349.508,7,10,7,9,0.5,28,27,67,0,0,0
Plot 1,2,31,0.052950161300518134,0.04636449206217616,0.06767371905181346,0.028902086264248707,0.03248767668393782,0.05270127619689119,0.7954652144041451,0.7270538061139896,0.580327214611399,0.6737729772020725,0.7444683823834196,0.4751317694818653,3.78,3.01,0.72,1.09,2.23,1.24,0.4794934039896373,0.3702609938860104,0.12717870409326423,0.35296723222797927,0.4431931990673575,0.11333848790155442,0.8713990414507772,0.7925655000518135,0.35470328626943004,0.8003891351813471,0.8690661974093264,0.20580252367875648,14.637173139896372,8.71556576373057,2.101605501554404,9.416267231606218,14.571018349740934,1.5217621875647669,42.7,33.3,0.4,32.7,44.3,6.5,89,77,72,74,88.49249999999999,353.96999999999997,8,9,8,8,0.4,35,26,65,0,0,0
Plot 1,3,28,0.06368947741666667,0.05665375156770833,0.06938384060937501,0.034694338015625,0.038039544979166666,0.05409393949999999,0.8509782672395834,0.8031233459895833,0.5998032216666667,0.74982413609375,0.82024844125,0.4738039004166667,3.83,2.57,0.51,1.13,2.2,1.16,0.5794367998958333,0.48171067322916666,0.143109062171875,0.44850636145833334,0.5617987249999999,0.11368405086458333,0.9208720030208334,0.8736254623958333,0.3962982158333333,0.8659002877604167,0.9286740098958334,0.190558204375,24.35581470833333,14.963316669270833,2.3163324744791667,14.789730592708333,27.257879130208334,1.4734418093750001,45.7,32.8,25.5,36.9,44.8,7.9,93,70,74,72,53.175999999999995,212.70399999999998,9,9,8,7.5,0.7,27,22,60,0,0,0
Plot 1,4,34,0.05886972804145077,0.05046217852331607,0.06925562495854921,0.031142910606217614,0.03645465218134715,0.054636624082901555,0.8380258157512953,0.7795744859585493,0.591161135388601,0.7540641274611399,0.8058453935751295,0.47724227569948185,3.63,2.77,0.76,1.06,2.07,1.17,0.5519624613989638,0.442591421865285,0.13134611632124352,0.44482510860103625,0.5348075497927461,0.1283813603523316,0.9126904639896374,0.8564741123834196,0.37398653134715026,0.8842265920725388,0.9191586752849742,0.19216174756476684,21.997002487046633,13.040487777202072,2.1973102445595853,16.69400181865285,23.975904227979274,1.4772645243523315,46.8,25.7,27,33.3,40.5,8.3,89,75,79,80,125.06249999999999,500.24999999999994,7,9,7,8,0.6,28,23,66,0,0,0
Plot 1,5,32,0.07254502512435233,0.04683065216580311,0.0596109410984456,0.03459161991709845,0.044206879466321236,0.054263738870466316,0.8670661886528498,0.7503708600518135,0.5754147646632124,0.791431338134715,0.8409090295336787,0.4745329843523316,3.93,2.8,0.74,0.99,2.04,1.1,0.6198509986528498,0.4281169237823834,0.12637886537823834,0.501330568238342,0.6051588360621761,0.11188477361658032,0.9292443632124353,0.8266253,0.39849692569948186,0.9102322802590673,0.9363425408290155,0.1892372758549223,27.40303303626943,10.796915549222797,2.3336264777202076,21.751779199481867,30.62852260103627,1.469579307253886,42.4,32.5,25.5,35.7,40.4,6.4,86,76,78,64,99.83149999999999,399.32599999999996,9.5,9.5,8,7.5,0.7,29,24,67,0,0,0
Plot 1,6,42,0.06224259812435234,0.056558382383419696,0.06201885168911917,0.032669975103626944,0.038554437,0.05505992016062176,0.8394076354404145,0.8004666270466321,0.6135703321243523,0.7036071686528497,0.8015551830569949,0.4789980005699482,3.33,3.33,1.05,0.94,1.97,0.96,0.56363903746114,0.4834245643005181,0.16147714207253885,0.39647920917098445,0.5370464611398964,0.11278066081865284,0.9096901086010363,0.8700651619689119,0.47690495554404144,0.8155902355440414,0.9101996445595856,0.19156462920207254,21.47534547150259,14.599927914507772,2.831000638341969,10.901659704663214,21.888132031088084,1.476466410880829,41.6,27.9,21.9,34,36.3,8,81,83,75,63,124.2345,496.938,9,9,8,9,0.8,32,24,63,0,0,0
Plot 1,7,33,0.05136948974611399,0.04550349269430051,0.06294917440414508,0.029736324497409324,0.03371616450777202,0.058451730041450774,0.7952067658549222,0.7408424833160621,0.588327535388601,0.6439799629533679,0.7262439978238342,0.5003723726943005,3.27,3.17,0.92,1.04,1.77,1.06,0.4805685055958549,0.38754137637305697,0.13882652466321244,0.32610934678756476,0.4297904013471503,0.1430569483316062,0.8746664932124353,0.8170440398963731,0.40704667906735753,0.7521398230569949,0.8425095180829016,0.2196501770984456,15.09929632642487,10.00245894818653,2.376354392227979,7.5300502984455955,12.077466660103628,1.567626507253886,39.5,35.9,14.5,31.9,40.8,8,79,67,76,79,78.499,313.996,10,7.5,9,7.5,0.6,33,27,62,0,0,0
Plot 1,8,41,0.0519813634611399,0.044628476015544045,0.06274545083419689,0.02941025238341969,0.03268518749222798,0.0568848662849741,0.8008432612435232,0.7527975911398964,0.5911864415544041,0.6083896603108808,0.7265058703108809,0.4882681423316062,3.09,2.37,1.33,1.09,1.83,1.08,0.4891004733160622,0.4027784956476684,0.14038155623316062,0.30364936538860104,0.433277735492228,0.12164558379792745,0.8803587022279793,0.837156738238342,0.4160177642487046,0.6991560861139896,0.8471697488601035,0.1998803012435233,15.851682103626944,11.351332126943007,2.4273556487046632,6.1033851005181345,12.500321317616581,1.5014829683937825,44.2,29.2,1.7,38.6,46.5,4.2,75,67,79,79,89.45849999999999,357.83399999999995,8,9,8,7.5,0.4,32,28,60,0,0,0
Plot 1,9,38,0.04669427838541666,0.043395985302083336,0.060245755328125,0.028129421979166663,0.030730266359375,0.05537690346354167,0.7696024323958334,0.7257471284895832,0.5785263389062499,0.5556763039583333,0.6970174222395834,0.4897791150520833,3.33,2.21,1.16,1.2,1.62,1.11,0.4386773774479167,0.36559352557291663,0.13093457671354167,0.26365042625,0.39411120765625,0.124399832875,0.8531788249479167,0.8026227922395833,0.3998779122916667,0.6246732529166666,0.8203821643750001,0.215409520625,12.700886502604165,9.1960567921875,2.3350539151041665,4.5573251953125,10.453323093749999,1.5514650484374999,39.4,36.5,19,39.1,40.2,4.5,85,75,69,79,75.41699999999999,301.66799999999995,10,8.5,7,7,0.4,26,26,63,0,0,0
Plot 1,10,32,0.05374225936979166,0.04897074009375,0.06438634956770833,0.029211389171875,0.03444290077604167,0.05919644499479167,0.8037031652604166,0.7697793194270833,0.6081894359895833,0.5483056926041666,0.7168825755729166,0.5057168114583334,3.17,2.7,0.68,0.76,2.07,1.13,0.5013989277604166,0.42961580744791666,0.14909233744791667,0.26486424744791665,0.42696666421875,0.13288085708333333,0.8800549799479166,0.8472527444270833,0.4480438346875,0.5972504688020833,0.8263264782291667,0.22740883895833333,15.923957174479165,12.206894981770832,2.6267033088541667,4.3512547010416665,11.101927647395833,1.5937525067708334,39.5,35.6,16.9,32.2,40.3,4,80,71,77,79,46.299,185.196,9,8.5,7.5,7,0.9,24,22,64,0,0,0
