Feature ID,240607_NDVI,240607_NDRE,240607_GNDVI,240607_RVI,240607_CVI,240607_NGRDI,240607_GLI,240607_VARI,240607_BI,240607_CI,240607_RI,240607_CIRE,240607_GI,240607_TVI,240607_CIG
60,0.3003607,0.1628295,0.54733604,1.8586158,6.2867746,-0.29556587,-0.09253044,-0.36959913,0.082461536,0.29556587,60.720173,0.38899958,1.8391584,5.388568,-0.707456
60,0.28581676,0.15110347,0.547795,1.8004018,6.50709,-0.31061018,-0.10288156,-0.38451523,0.08710028,0.31061018,63.02793,0.3559997,1.9011163,5.557214,-0.70783925
60,0.32198364,0.14850836,0.570274,1.9497813,6.848283,-0.30413535,-0.10040808,-0.37975857,0.07586304,0.30413535,69.54263,0.34881926,1.8741221,5.3619967,-0.72633696
60,0.29542682,0.13811512,0.5456165,1.8385979,6.293201,-0.2982673,-0.088819556,-0.36796108,0.08372622,0.2982673,60.79366,0.3204955,1.8500881,5.408557,-0.706018
60,0.2741358,0.12959924,0.5351373,1.7553364,6.2127633,-0.30587322,-0.096779235,-0.37759337,0.09411126,0.30587322,56.658497,0.29779208,1.881318,5.752942,-0.697185
60,0.2913314,0.15055113,0.5440465,1.8221936,6.2933974,-0.30031428,-0.09463318,-0.37343112,0.09079494,0.30031428,56.764496,0.35446775,1.8584262,5.8079033,-0.70470226
60,0.29073822,0.14623097,0.56245977,1.8198333,7.007291,-0.32484263,-0.115503296,-0.40057978,0.092358746,0.32484263,64.9261,0.34255397,1.9622723,6.0990562,-0.71996707
60,0.27765024,0.12312956,0.5416421,1.7687417,6.395778,-0.31072024,-0.10065668,-0.38276002,0.100068286,0.31072024,54.897255,0.28083873,1.9015794,6.22696,-0.7026821
60,0.2613083,0.1382905,0.5497053,1.7074895,6.9365993,-0.3367718,-0.1257216,-0.41351494,0.10110532,0.3367718,63.92639,0.3209678,2.0155532,6.2062826,-0.70943207
60,0.28488836,0.14980248,0.56741107,1.7967662,7.306737,-0.33699802,-0.12758788,-0.41524076,0.090841554,0.33699802,71.25098,0.35239458,2.0165823,5.988988,-0.7240106
60,0.289008,0.14344049,0.55788213,1.8129712,6.8486037,-0.3205585,-0.11003999,-0.39437953,0.09085642,0.3205585,64.260414,0.33492243,1.9435941,5.9341974,-0.71620584
60,0.29837647,0.15296689,0.56313306,1.8505316,6.918264,-0.31822687,-0.109412394,-0.39295855,0.08937204,0.31822687,64.38811,0.3611828,1.9335274,5.9875183,-0.7205184
60,0.27283984,0.14340852,0.5525371,1.7504257,6.8774304,-0.3293478,-0.12224507,-0.40800354,0.100910895,0.3293478,61.123615,0.3348353,1.9821715,6.3499146,-0.71178603
60,0.25099832,0.123292364,0.52971846,1.670221,6.334804,-0.32146108,-0.108145386,-0.39316025,0.11215129,0.32146108,52.35213,0.28126216,1.9475096,6.528329,-0.69256985
60,0.25230607,0.13254802,0.529209,1.6748914,6.2992787,-0.31957322,-0.10656317,-0.39113235,0.11437952,0.31957322,50.732983,0.30560315,1.9393318,6.6665764,-0.6921343
60,0.24850637,0.11325831,0.53043437,1.6613666,6.393981,-0.3247331,-0.11241564,-0.39793292,0.11006254,0.3247331,54.445343,0.25544822,1.9617919,6.3880816,-0.69318146
60,0.24938099,0.12145866,0.5380917,1.6644675,6.661587,-0.33345735,-0.1265699,-0.4132026,0.103174284,0.33345735,61.34765,0.2765007,2.0005581,6.0798817,-0.6996875
60,0.29836544,0.16945505,0.54999584,1.8504868,6.4112415,-0.3010293,-0.09282184,-0.37232712,0.086186536,0.3010293,60.06123,0.40805745,1.8613502,5.6402044,-0.709674
60,0.273361,0.14138912,0.53156775,1.7523984,6.1002274,-0.3021057,-0.08948131,-0.37023333,0.09130873,0.3021057,57.06594,0.32934391,1.8657635,5.5378113,-0.69414854
60,0.2981851,0.14739269,0.53914565,1.8497543,6.03001,-0.28711936,-0.08161176,-0.3571225,0.08823117,0.28711936,53.92207,0.3457458,1.8055187,5.6580906,-0.70057786
60,0.28286892,0.13151526,0.540073,1.7888905,6.267885,-0.30358228,-0.09731237,-0.37701702,0.09375167,0.30358228,56.08311,0.30286145,1.8718396,5.868928,-0.7013602
60,0.2626732,0.11392875,0.51760554,1.7125014,5.7793937,-0.2950473,-0.09134499,-0.36842397,0.10452664,0.2950473,47.7518,0.25715482,1.8370699,6.06664,-0.6821345
60,0.25083983,0.12793584,0.5204899,1.6696562,6.02205,-0.31014198,-0.10502324,-0.3860816,0.11362369,0.31014198,48.176052,0.29340923,1.8991473,6.501154,-0.6846344
60,0.25579944,0.12952723,0.5352945,1.6874477,6.4684076,-0.32383743,-0.11447464,-0.3993374,0.116070755,0.32383743,51.33917,0.29760206,1.9578686,6.8805485,-0.6973183
60,0.24154472,0.12228587,0.51558995,1.6369387,5.9800477,-0.31302923,-0.10292707,-0.38555026,0.117681615,0.31302923,47.35044,0.27864623,1.911332,6.569458,-0.68038183
60,0.22331578,0.13686055,0.4876382,1.575049,5.3523808,-0.29662395,-0.09026082,-0.36831066,0.11499359,0.29662395,43.823124,0.3171227,1.8434292,5.904194,-0.6555871
60,0.27428678,0.17147475,0.5173061,1.7559096,5.627306,-0.283203,-0.0755186,-0.35062993,0.09331321,0.283203,49.798004,0.41392767,1.7901902,5.517624,-0.6818744
60,0.33001617,0.166709,0.5361382,1.9851466,5.5244718,-0.25043204,-0.04760031,-0.31275767,0.071804725,0.25043204,53.30191,0.40012193,1.6682037,4.827625,-0.6980338
60,0.28912514,0.15121706,0.55778515,1.8134347,6.843001,-0.32031754,-0.111640856,-0.39562774,0.08466573,0.32031754,68.85581,0.35631502,1.9425505,5.530032,-0.7161259
60,0.30898458,0.17033434,0.57207817,1.8942914,7.1247983,-0.3195844,-0.112626694,-0.3961833,0.07741,0.3195844,74.96727,0.4106096,1.9393799,5.3658075,-0.72779864
60,0.30607823,0.14807858,0.5641545,1.8821691,6.842825,-0.31194073,-0.09922247,-0.3821263,0.07919136,0.31194073,69.89357,0.34763432,1.9067264,5.3863544,-0.7213539
60,0.2857256,0.13339351,0.53400445,1.8000443,6.02014,-0.29298168,-0.08338983,-0.3613361,0.09120682,0.29298168,54.044067,0.3078525,1.828781,5.6732063,-0.69622284
60,0.26903242,0.1432882,0.5429458,1.7360995,6.564342,-0.32076788,-0.118771136,-0.40193486,0.101659924,0.32076788,57.50626,0.33450735,1.9445015,6.248563,-0.70377815
60,0.26047096,0.1335491,0.5283232,1.7044238,6.1597586,-0.31059393,-0.10686757,-0.3878016,0.106151186,0.31059393,51.711155,0.308267,1.9010478,6.2624893,-0.6913762
60,0.25430894,0.12676528,0.52142817,1.682076,6.008458,-0.30795524,-0.09904701,-0.3802988,0.11396473,0.30795524,47.390076,0.29033494,1.8899865,6.570031,-0.68544567
60,0.25907513,0.14052491,0.5218261,1.699329,5.960476,-0.30382589,-0.09722142,-0.3770511,0.11077898,0.30382589,47.533653,0.3270017,1.8728446,6.442171,-0.68578947
60,0.24504004,0.14213736,0.50525284,1.6491472,5.612973,-0.29698125,-0.09172401,-0.36961848,0.10756696,0.29698125,46.950665,0.3313756,1.8448744,5.92253,-0.6713196
60,0.28120425,0.16839065,0.5217516,1.7824316,5.680252,-0.2819086,-0.08119375,-0.3541791,0.08929855,0.2819086,51.63407,0.4049754,1.7851608,5.386647,-0.6857251
60,0.35558027,0.19988143,0.5812038,2.1035671,6.776633,-0.28439876,-0.08749065,-0.3602832,0.0662946,0.28439876,70.59885,0.4996295,1.7948526,5.0661235,-0.7351409
60,0.35750014,0.19028872,0.5560482,2.1128411,5.814438,-0.24780951,-0.040112045,-0.3063731,0.06563031,0.24780951,57.431496,0.47001624,1.658901,4.801285,-0.71469283
60,0.3169226,0.14989407,0.5189048,1.927926,5.1702156,-0.24173634,-0.03337428,-0.29835004,0.07590567,0.24173634,47.93538,0.35264802,1.637605,4.827348,-0.68326175
60,0.27466264,0.13539141,0.541217,1.7573376,6.4218163,-0.31309694,-0.1094142,-0.3909487,0.09091931,0.31309694,61.313793,0.31318545,1.9116191,5.624692,-0.7023243
60,0.28470626,0.17200929,0.5723776,1.7960541,7.527895,-0.34367684,-0.13206282,-0.42128265,0.085964516,0.34367684,78.552536,0.41548598,2.0472791,5.7135525,-0.72804093
60,0.33609605,0.17343229,0.57649076,2.012484,6.8853273,-0.29816628,-0.095146745,-0.37287024,0.07264694,0.29816628,70.02212,0.41964447,1.8496777,5.3207927,-0.7313595
60,0.32155675,0.12568997,0.54037726,1.9479253,5.766056,-0.26483953,-0.06509592,-0.33318043,0.07927397,0.26483953,52.542908,0.28751802,1.7204944,5.298805,-0.70161676
60,0.26433188,0.12209068,0.52555525,1.7186172,6.0159683,-0.30336756,-0.096229546,-0.37605876,0.10197436,0.30336756,51.493145,0.2781396,1.8709544,6.024206,-0.689002
60,0.27054805,0.14469616,0.5449781,1.7417845,6.6188984,-0.3218905,-0.13390093,-0.4163304,0.107767425,0.3218905,54.627647,0.3383503,1.9493762,6.6652365,-0.7054833
60,0.27368623,0.14875913,0.51067436,1.7536309,5.435102,-0.27549222,-0.09010305,-0.3578989,0.10922896,0.27549222,40.62317,0.34951127,1.760495,6.3698883,-0.676088
60,0.26189497,0.13215484,0.5082102,1.7096413,5.501228,-0.28413263,-0.089825556,-0.36199835,0.11102175,0.28413263,42.089413,0.30455852,1.7938136,6.3202686,-0.6739249
60,0.23609944,0.14582786,0.5341232,1.6181418,6.7013392,-0.34102964,-0.13687386,-0.42493445,0.1128829,0.34102964,58.822258,0.34144843,2.035038,6.457488,-0.6963237
60,0.27245355,0.15898716,0.5538391,1.7489654,6.935021,-0.33139086,-0.122224964,-0.40867722,0.09217833,0.33139086,67.77846,0.37808502,1.9912844,5.809744,-0.7128654
60,0.34425867,0.18906572,0.57399935,2.049983,6.6594496,-0.28631842,-0.082140565,-0.35712093,0.071356684,0.28631842,66.35263,0.46629107,1.8023702,5.2774124,-0.7293514
60,0.3804421,0.19506118,0.5869355,2.2281084,6.624401,-0.26585823,-0.059526548,-0.3299089,0.06316019,0.26585823,66.34634,0.48466086,1.7242695,5.0939646,-0.7397094
60,0.3485596,0.17687818,0.5649907,2.0701196,6.252172,-0.26950562,-0.062440846,-0.3339775,0.06805604,0.26950562,62.91838,0.42977405,1.7378718,4.9875884,-0.7220371
60,0.3141661,0.13335323,0.5611166,1.916158,6.6029954,-0.29980043,-0.09038376,-0.36987266,0.07695633,0.29980043,66.76254,0.30774534,1.8563286,5.2792315,-0.7188657
60,0.29120135,0.13298707,0.5219168,1.8216758,5.562934,-0.2720647,-0.059583057,-0.33347154,0.09579972,0.2720647,45.381813,0.30677068,1.747497,5.876772,-0.6858678
60,0.27316284,0.14727531,0.5228703,1.751648,5.815755,-0.2913157,-0.08845242,-0.36440036,0.09137227,0.2913157,53.40475,0.34542286,1.8221312,5.4503813,-0.6866905
60,0.2612173,0.12885652,0.5194058,1.7071561,5.8548717,-0.2987179,-0.09314221,-0.37152988,0.09971396,0.2987179,51.18653,0.2958331,1.8519194,5.793043,-0.683696
60,0.25807106,0.14858295,0.5410885,1.6956758,6.650502,-0.32895207,-0.12347956,-0.40896085,0.095996834,0.32895207,64.093216,0.349025,1.9804131,5.7720346,-0.702216
60,0.3087211,0.16962406,0.5460936,1.8931882,6.1283727,-0.28550616,-0.09242759,-0.36475667,0.07743555,0.28550616,60.845512,0.40854764,1.7991844,5.120515,-0.70641726
60,0.31462523,0.13452044,0.5444174,1.9181116,5.991302,-0.27728814,-0.105951265,-0.37237927,0.081120595,0.27728814,55.28871,0.31085765,1.7673546,5.400895,-0.7050133
60,0.26520476,0.10129729,0.49081793,1.7218466,4.9786143,-0.25937533,-0.06493771,-0.32991263,0.11096924,0.25937533,36.345573,0.22543001,1.7004232,6.1347923,-0.65845454
60,0.23003922,0.1274635,0.49047726,1.5975349,5.3564034,-0.29356018,-0.086928844,-0.3642967,0.12806527,0.29356018,38.62485,0.29216778,1.8310975,6.6850004,-0.65814793
60,0.24894188,0.14587393,0.5085822,1.6629097,5.6671867,-0.2972779,-0.09784538,-0.37464797,0.1154111,0.2972779,43.838608,0.34157467,1.8460753,6.43639,-0.6742519
60,0.26651964,0.12513004,0.4972811,1.726726,5.1372757,-0.26601827,-0.068868905,-0.336539,0.11147163,0.26601827,37.62765,0.28605402,1.7248634,6.257042,-0.6642455
60,0.25335887,0.11836584,0.49101704,1.678663,5.112052,-0.27142435,-0.07077225,-0.34091842,0.116058804,0.27142435,37.31768,0.26851463,1.7450821,6.297968,-0.6586337
60,0.26415214,0.1399968,0.5366497,1.7179531,6.402059,-0.31750646,-0.119707115,-0.401581,0.10203032,0.31750646,56.14833,0.32557273,1.9304307,6.1495466,-0.69846725
60,0.30819714,0.15947315,0.571017,1.8909969,7.0923624,-0.31895074,-0.113878936,-0.39701232,0.08195374,0.31895074,70.53266,0.37945998,1.9366452,5.662508,-0.7269393
60,0.33090863,0.17201856,0.58184963,1.9891284,7.1945333,-0.3107779,-0.10257865,-0.3843381,0.07335086,0.3107779,74.91971,0.41551304,1.9018222,5.374177,-0.73565733
60,0.3223297,0.16184615,0.5841133,1.9512877,7.4353466,-0.32250372,-0.113297634,-0.39784697,0.07458706,0.32250372,79.23111,0.38619673,1.9520456,5.403764,-0.7374641
60,0.3208912,0.15482272,0.56994325,1.9450362,6.851547,-0.30479613,-0.093774445,-0.3747566,0.07842205,0.30479613,67.546196,0.36636746,1.8768538,5.5291176,-0.7260686
60,0.2920113,0.1249586,0.533006,1.8249037,5.9050703,-0.28541824,-0.071474925,-0.34887305,0.09319953,0.28541824,50.52722,0.28560615,1.79884,5.8475027,-0.69537365
