DAS,tm,avgTa,maxTa,minTa,sumRn,주차
1,2023-10-29,14.2,21.6,8.7,0.0,1
2,2023-10-30,14.8,21.3,10.0,0.0,1
3,2023-10-31,14.7,21.8,9.7,0.0,1
4,2023-11-01,19.1,24.7,12.7,0.0,1
5,2023-11-02,20.2,26.7,16.8,0.0,1
6,2023-11-03,19.7,25.5,13.6,0.0,1
7,2023-11-04,19.6,22.8,17.5,3.4,1
8,2023-11-05,20.5,26.0,17.3,11.8,2
9,2023-11-06,16.4,22.9,12.1,19.3,2
10,2023-11-07,10.1,13.5,4.8,0.4,2
11,2023-11-08,8.3,16.4,2.0,0.0,2
12,2023-11-09,13.7,20.4,6.4,29.5,2
13,2023-11-10,7.4,13.2,1.9,0.5,2
14,2023-11-11,4.3,8.2,0.0,0.0,2
15,2023-11-12,4.5,6.8,1.9,0.7,3
16,2023-11-13,5.5,9.5,0.1,0.1,3
17,2023-11-14,7.7,11.4,4.1,0.0,3
18,2023-11-15,8.4,14.3,4.6,0.0,3
19,2023-11-16,7.4,9.3,5.0,18.6,3
20,2023-11-17,4.8,8.3,2.7,16.1,3
21,2023-11-18,5.0,8.9,-0.6,2.8,3
22,2023-11-19,9.3,15.1,1.9,0.0,4
23,2023-11-20,6.6,13.0,2.0,0.0,4
24,2023-11-21,6.7,14.5,0.3,0.0,4
25,2023-11-22,10.7,17.6,2.0,0.0,4
26,2023-11-23,12.9,17.1,7.0,0.0,4
27,2023-11-24,3.4,7.5,-0.1,0.2,4
28,2023-11-25,0.5,4.8,-2.5,0.0,4
29,2023-11-26,3.6,7.5,-1.7,0.3,5
30,2023-11-27,8.9,13.7,5.0,0.9,5
31,2023-11-28,5.8,9.3,1.7,0.0,5
32,2023-11-29,4.9,9.1,1.2,0.1,5
33,2023-11-30,0.7,3.8,-1.4,0.0,5
34,2023-12-01,1.0,4.0,-1.3,0.8,5
35,2023-12-02,5.3,8.9,0.0,0.0,5
36,2023-12-03,4.0,7.9,-0.9,0.0,6
37,2023-12-04,3.1,9.6,-3.1,0.0,6
38,2023-12-05,5.8,13.6,-0.3,0.0,6
39,2023-12-06,9.1,14.7,3.3,1.5,6
40,2023-12-07,8.0,13.0,1.6,0.0,6
41,2023-12-08,14.5,19.9,8.2,0.0,6
42,2023-12-09,15.1,19.7,11.3,0.0,6
43,2023-12-10,13.1,17.4,10.7,0.4,7
44,2023-12-11,12.1,13.3,10.4,31.5,7
45,2023-12-12,8.8,12.1,7.1,0.3,7
46,2023-12-13,10.3,14.4,6.0,0.0,7
47,2023-12-14,12.0,12.8,10.8,17.6,7
48,2023-12-15,10.6,15.8,6.5,47.0,7
49,2023-12-16,0.7,6.5,-2.0,2.3,7
50,2023-12-17,-5.6,-1.1,-7.6,3.8,8
51,2023-12-18,-3.5,-0.7,-7.2,0.0,8
52,2023-12-19,-0.7,2.4,-4.6,1.9,8
53,2023-12-20,-2.9,2.0,-6.7,13.7,8
54,2023-12-21,-7.5,-6.3,-9.1,6.6,8
55,2023-12-22,-7.5,-4.6,-11.5,1.6,8
56,2023-12-23,-5.3,0.7,-11.4,0.0,8
57,2023-12-24,-0.7,3.4,-4.5,3.0,9
58,2023-12-25,1.2,5.2,-2.5,0.0,9
59,2023-12-26,3.3,7.6,0.4,0.0,9
60,2023-12-27,3.0,8.7,0.0,0.0,9
61,2023-12-28,2.1,7.4,-1.6,0.0,9
62,2023-12-29,2.1,7.8,-1.8,0.0,9
63,2023-12-30,2.9,8.8,-1.7,1.1,9
64,2023-12-31,6.1,9.5,4.2,3.1,10
65,2024-01-01,4.9,9.4,-0.2,0.0,10
66,2024-01-02,5.2,7.9,3.6,0.0,10
67,2024-01-03,4.1,7.4,0.9,0.9,10
68,2024-01-04,2.9,8.3,-2.0,0.0,10
69,2024-01-05,6.2,9.9,2.3,0.0,10
70,2024-01-06,2.8,7.0,-1.2,0.0,10
71,2024-01-07,-0.1,3.8,-4.0,0.6,11
72,2024-01-08,-2.2,2.1,-6.6,0.0,11
73,2024-01-09,2.7,7.2,-2.0,3.8,11
74,2024-01-10,1.1,4.3,-2.6,0.3,11
75,2024-01-11,2.8,7.0,-3.2,0.0,11
76,2024-01-12,3.8,8.2,-1.4,0.0,11
77,2024-01-13,0.9,6.9,-4.0,0.0,11
78,2024-01-14,4.5,14.3,-2.4,2.7,12
79,2024-01-15,-0.1,3.8,-3.5,0.0,12
80,2024-01-16,-0.7,4.4,-5.4,0.0,12
81,2024-01-17,4.4,9.8,-0.6,6.5,12
82,2024-01-18,7.1,11.1,5.4,8.9,12
83,2024-01-19,7.6,10.5,5.6,0.2,12
84,2024-01-20,5.4,6.5,4.3,16.6,12
85,2024-01-21,4.2,7.7,1.5,0.2,13
86,2024-01-22,-2.8,1.5,-6.1,2.1,13
87,2024-01-23,-5.8,-3.2,-7.8,8.6,13
88,2024-01-24,-4.4,-1.0,-7.7,3.3,13
89,2024-01-25,-3.3,1.1,-7.7,0.0,13
90,2024-01-26,-0.1,4.8,-5.6,0.0,13
91,2024-01-27,1.5,5.9,-1.2,0.0,13
92,2024-01-28,0.9,5.2,-2.6,0.0,14
93,2024-01-29,0.9,5.6,-1.9,0.0,14
94,2024-01-30,2.1,9.8,-4.4,0.0,14
95,2024-01-31,6.6,12.5,3.6,0.0,14
96,2024-02-01,4.8,8.0,3.3,0.0,14
97,2024-02-02,2.5,6.0,-0.6,0.0,14
98,2024-02-03,3.8,7.8,-1.1,3.0,14
99,2024-02-04,7.1,11.5,3.8,5.3,15
100,2024-02-05,5.5,6.9,4.6,20.0,15
101,2024-02-06,4.0,6.8,1.7,0.4,15
102,2024-02-07,1.5,4.9,-1.4,0.0,15
103,2024-02-08,0.6,5.5,-3.2,0.0,15
104,2024-02-09,1.4,7.2,-3.1,0.0,15
105,2024-02-10,2.7,9.4,-2.4,0.0,15
