Feature,Importance
엽록소함량(µmol/m2)_개화기,0.2624370517111299
군집(LAI)_개화기,0.15981874062651888
군집(LAI)_개화후2주,0.13664115497944418
간장(cm)_개화후4주,0.04493209430518227
수장(cm)_개화후4주,0.04476584114370007
초장(cm)_분얼전기,0.03643307780168493
SPAD_분얼후기,0.034585323623483245
LAI_분얼후기,0.032042743686447744
엽록소함량(µmol/m2)_개화후2주,0.03127664659791779
군집(LAI)_개화후4주,0.029562635724876406
간장(cm)_개화기,0.02936611582141413
1수영화수_개화기,0.027424928817120844
간장(cm)_개화후2주,0.022563597202236326
SPAD_분얼전기,0.022542152550080026
유수길이(mm)_분얼전기,0.018325517653771013
엽록소함량(µmol/m2)_개화후4주,0.014316512173830287
LAI_분얼전기,0.013411150487327862
초장(cm)_분얼후기,0.00967932884158133
수장(cm)_개화후2주,0.008728398863031304
파종,0.007731512039402581
수장(cm)_개화기,0.007281259803814341
관개,0.0031372363375493473
시비,0.002996979208455232
