Feature,Importance
엽록소함량(µmol/m2)_개화기,0.18191129
간장(cm)_개화후4주,0.18169263
군집(LAI)_개화후4주,0.16554336
군집(LAI)_개화후2주,0.11471012
군집(LAI)_개화기,0.07373038
LAI_분얼전기,0.046173126
관개,0.03179566
1수영화수_개화기,0.029354371
엽록소함량(µmol/m2)_개화후2주,0.024066618
수장(cm)_개화후2주,0.022975989
유수길이(mm)_분얼전기,0.022122841
간장(cm)_개화후2주,0.0206025
LAI_분얼후기,0.018648608
SPAD_분얼후기,0.0155073395
수장(cm)_개화기,0.014563295
SPAD_분얼전기,0.009369907
엽록소함량(µmol/m2)_개화후4주,0.007704221
초장(cm)_분얼후기,0.006590487
간장(cm)_개화기,0.0056944764
수장(cm)_개화후4주,0.0038005013
초장(cm)_분얼전기,0.003341765
시비,0.000100629724
파종,0.0
