NDVI,EVI,name,imageId
0.31470000000000004,0.1399,jeonju,2001_01_01
0.3065,0.16090000000000002,naju,2001_01_01
0.3052,0.1733,daegu,2001_01_01
-0.0026000000000000003,-0.0032,suwon,2001_01_01
0.2755,0.1453,miryang,2001_01_01
0.2132,0.131,jinju,2001_01_01
0.2672,0.16010000000000002,jeonju,2001_01_17
0.3019,0.1757,naju,2001_01_17
0.21430000000000002,0.12660000000000002,daegu,2001_01_17
0.017,0.020200000000000003,suwon,2001_01_17
0.28290000000000004,0.15760000000000002,miryang,2001_01_17
0.23520000000000002,0.137,jinju,2001_01_17
0.2803,0.135,jeonju,2001_02_02
0.3043,0.1708,naju,2001_02_02
0.343,0.19110000000000002,daegu,2001_02_02
0.0026000000000000003,0.0039000000000000003,suwon,2001_02_02
0.2602,0.1341,miryang,2001_02_02
0.2738,0.16440000000000002,jinju,2001_02_02
0.2417,0.13,jeonju,2001_02_18
0.25,0.1408,naju,2001_02_18
0.3579,0.2049,daegu,2001_02_18
0.15380000000000002,0.078,suwon,2001_02_18
0.302,0.17250000000000001,miryang,2001_02_18
0.24780000000000002,0.15660000000000002,jinju,2001_02_18
0.21660000000000001,0.1246,jeonju,2001_03_06
0.27940000000000004,0.1647,naju,2001_03_06
0.36860000000000004,0.2076,daegu,2001_03_06
0.1701,0.09230000000000001,suwon,2001_03_06
0.259,0.1706,miryang,2001_03_06
0.2549,0.161,jinju,2001_03_06
0.24650000000000002,0.1421,jeonju,2001_03_22
0.29550000000000004,0.19820000000000002,naju,2001_03_22
0.30970000000000003,0.1701,daegu,2001_03_22
0.1625,0.0889,suwon,2001_03_22
0.2606,0.1686,miryang,2001_03_22
0.2535,0.17370000000000002,jinju,2001_03_22
0.2396,0.1631,jeonju,2001_04_07
0.2676,0.1622,naju,2001_04_07
0.3654,0.2536,daegu,2001_04_07
0.15380000000000002,0.095,suwon,2001_04_07
0.2422,0.16040000000000001,miryang,2001_04_07
0.3247,0.23420000000000002,jinju,2001_04_07
0.2762,0.1769,jeonju,2001_04_23
0.2947,0.18030000000000002,naju,2001_04_23
0.39280000000000004,0.26880000000000004,daegu,2001_04_23
0.2006,0.1241,suwon,2001_04_23
0.2939,0.17850000000000002,miryang,2001_04_23
0.2987,0.20850000000000002,jinju,2001_04_23
0.4666,0.343,jeonju,2001_05_09
0.3491,0.2441,naju,2001_05_09
0.41600000000000004,0.3055,daegu,2001_05_09
0.2074,0.11230000000000001,suwon,2001_05_09
0.2838,0.1899,miryang,2001_05_09
0.4047,0.2671,jinju,2001_05_09
0.5389,0.4042,jeonju,2001_05_25
0.41350000000000003,0.2927,naju,2001_05_25
0.4832,0.3317,daegu,2001_05_25
0.20120000000000002,0.1106,suwon,2001_05_25
0.3257,0.21630000000000002,miryang,2001_05_25
0.3996,0.2797,jinju,2001_05_25
0.5565,0.3392,jeonju,2001_06_10
0.3513,0.2509,naju,2001_06_10
0.5231,0.2848,daegu,2001_06_10
0.2331,0.1373,suwon,2001_06_10
0.36660000000000004,0.2505,miryang,2001_06_10
0.3609,0.24230000000000002,jinju,2001_06_10
0.6422,0.4491,jeonju,2001_06_26
0.7060000000000001,0.46990000000000004,naju,2001_06_26
0.6841,0.5211,daegu,2001_06_26
0.4877,0.32880000000000004,suwon,2001_06_26
0.5239,0.3764,miryang,2001_06_26
0.43860000000000005,0.3065,jinju,2001_06_26
0.6796,0.4887,jeonju,2001_07_12
0.7100000000000001,0.45380000000000004,naju,2001_07_12
0.7116,0.5119,daegu,2001_07_12
0.6216,0.4111,suwon,2001_07_12
0.5859,0.4531,miryang,2001_07_12
0.6722,0.4929,jinju,2001_07_12
0.6908000000000001,0.45930000000000004,jeonju,2001_07_28
0.781,0.5967,naju,2001_07_28
0.7839,0.5059,daegu,2001_07_28
0.5928,0.39890000000000003,suwon,2001_07_28
0.6988000000000001,0.5911000000000001,miryang,2001_07_28
0.6947,0.5546,jinju,2001_07_28
0.6831,0.5101,jeonju,2001_08_13
0.728,0.5421,naju,2001_08_13
0.6684,0.4308,daegu,2001_08_13
0.629,0.5238,suwon,2001_08_13
0.7000000000000001,0.5263,miryang,2001_08_13
0.7272000000000001,0.5736,jinju,2001_08_13
0.6318,0.459,jeonju,2001_08_29
0.6505000000000001,0.49760000000000004,naju,2001_08_29
0.6836,0.4047,daegu,2001_08_29
0.5479,0.41750000000000004,suwon,2001_08_29
0.7018,0.4652,miryang,2001_08_29
0.649,0.4555,jinju,2001_08_29
0.6949000000000001,0.4756,jeonju,2001_09_14
0.6248,0.4495,naju,2001_09_14
0.6773,0.3956,daegu,2001_09_14
0.44210000000000005,0.2964,suwon,2001_09_14
0.67,0.5412,miryang,2001_09_14
0.5858,0.38570000000000004,jinju,2001_09_14
0.6733,0.43810000000000004,jeonju,2001_09_30
0.6351,0.4227,naju,2001_09_30
0.4927,0.3037,daegu,2001_09_30
0.468,0.3042,suwon,2001_09_30
0.5915,0.368,miryang,2001_09_30
0.48210000000000003,0.3169,jinju,2001_09_30
0.6846,0.43360000000000004,jeonju,2001_10_16
0.3798,0.23720000000000002,naju,2001_10_16
0.47100000000000003,0.26930000000000004,daegu,2001_10_16
0.3891,0.24960000000000002,suwon,2001_10_16
0.5017,0.3542,miryang,2001_10_16
0.3151,0.1985,jinju,2001_10_16
0.5275000000000001,0.2906,jeonju,2001_11_01
0.369,0.2083,naju,2001_11_01
0.4223,0.227,daegu,2001_11_01
0.24250000000000002,0.1422,suwon,2001_11_01
0.35150000000000003,0.23220000000000002,miryang,2001_11_01
0.2912,0.16060000000000002,jinju,2001_11_01
0.4169,0.23120000000000002,jeonju,2001_11_17
0.3649,0.2073,naju,2001_11_17
0.3083,0.15810000000000002,daegu,2001_11_17
0.2132,0.1155,suwon,2001_11_17
0.24910000000000002,0.15710000000000002,miryang,2001_11_17
0.2634,0.1615,jinju,2001_11_17
0.3836,0.2036,jeonju,2001_12_03
0.32830000000000004,0.20090000000000002,naju,2001_12_03
0.2858,0.1436,daegu,2001_12_03
0.153,0.08420000000000001,suwon,2001_12_03
0.2544,0.133,miryang,2001_12_03
0.26,0.1413,jinju,2001_12_03
0.34590000000000004,0.165,jeonju,2001_12_19
0.3143,0.16240000000000002,naju,2001_12_19
0.37510000000000004,0.1718,daegu,2001_12_19
0.152,0.08320000000000001,suwon,2001_12_19
0.22590000000000002,0.1207,miryang,2001_12_19
0.2697,0.17070000000000002,jinju,2001_12_19
0.27840000000000004,0.14150000000000001,jeonju,2002_01_01
0.3143,0.16240000000000002,naju,2002_01_01
0.2574,0.1381,daegu,2002_01_01
0.152,0.08320000000000001,suwon,2002_01_01
0.2285,0.1366,miryang,2002_01_01
0.2326,0.13770000000000002,jinju,2002_01_01
0.3119,0.13920000000000002,jeonju,2002_01_17
0.3667,0.1962,naju,2002_01_17
0.2431,0.1269,daegu,2002_01_17
0.1646,0.08710000000000001,suwon,2002_01_17
0.21710000000000002,0.11670000000000001,miryang,2002_01_17
0.2596,0.14750000000000002,jinju,2002_01_17
0.3159,0.16010000000000002,jeonju,2002_02_02
0.2943,0.1612,naju,2002_02_02
0.38420000000000004,0.1825,daegu,2002_02_02
0.1521,0.0781,suwon,2002_02_02
0.225,0.1267,miryang,2002_02_02
0.223,0.12440000000000001,jinju,2002_02_02
0.2389,0.1153,jeonju,2002_02_18
0.26580000000000004,0.1463,naju,2002_02_18
0.29650000000000004,0.1584,daegu,2002_02_18
0.15280000000000002,0.0805,suwon,2002_02_18
0.231,0.1403,miryang,2002_02_18
0.24280000000000002,0.1489,jinju,2002_02_18
0.29810000000000003,0.1461,jeonju,2002_03_06
0.2743,0.159,naju,2002_03_06
0.2579,0.1474,daegu,2002_03_06
0.17650000000000002,0.08710000000000001,suwon,2002_03_06
0.234,0.1393,miryang,2002_03_06
0.2889,0.17220000000000002,jinju,2002_03_06
0.2977,0.2036,jeonju,2002_03_22
0.3004,0.2026,naju,2002_03_22
0.40340000000000004,0.2495,daegu,2002_03_22
0.1763,0.1051,suwon,2002_03_22
0.3032,0.20450000000000002,miryang,2002_03_22
0.277,0.1824,jinju,2002_03_22
0.3317,0.23240000000000002,jeonju,2002_04_07
0.31320000000000003,0.19410000000000002,naju,2002_04_07
0.5449,0.40740000000000004,daegu,2002_04_07
0.1953,0.11610000000000001,suwon,2002_04_07
0.2958,0.20800000000000002,miryang,2002_04_07
0.3199,0.2112,jinju,2002_04_07
0.3536,0.2624,jeonju,2002_04_23
0.36460000000000004,0.24000000000000002,naju,2002_04_23
0.47240000000000004,0.326,daegu,2002_04_23
0.23800000000000002,0.1272,suwon,2002_04_23
0.3483,0.2492,miryang,2002_04_23
0.4103,0.28300000000000003,jinju,2002_04_23
0.4867,0.3572,jeonju,2002_05_09
0.4287,0.2686,naju,2002_05_09
0.6242,0.4495,daegu,2002_05_09
0.3019,0.1812,suwon,2002_05_09
0.3262,0.19110000000000002,miryang,2002_05_09
0.4388,0.29560000000000003,jinju,2002_05_09
0.5356000000000001,0.40040000000000003,jeonju,2002_05_25
0.3776,0.258,naju,2002_05_25
0.5787,0.3803,daegu,2002_05_25
0.25620000000000004,0.1448,suwon,2002_05_25
0.28700000000000003,0.17800000000000002,miryang,2002_05_25
0.3472,0.2499,jinju,2002_05_25
