,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0,0,WheatGDD,1976-06-30,251,3.1064168420517873,0
1,1,WheatGDD,1977-06-30,616,2.6331878504584956,0
2,2,WheatGDD,1978-06-30,981,3.048192590196627,0
3,3,WheatGDD,1979-06-30,1346,5.811166139282904,0
4,4,WheatGDD,1980-06-30,1712,3.8187132567328685,0
5,5,WheatGDD,1981-06-30,2077,2.2621330453103976,0
6,6,WheatGDD,1982-06-30,2442,1.2769104880626048,0
7,7,WheatGDD,1983-06-30,2807,4.94732495205845,0
8,8,WheatGDD,1984-06-30,3173,2.1571733839502647,0
9,9,WheatGDD,1985-06-30,3538,4.02343631195506,0
10,10,WheatGDD,1986-06-30,3903,2.919892093318792,0
11,11,WheatGDD,1987-06-30,4268,3.719807230649903,0
12,12,WheatGDD,1988-06-30,4634,2.728267375358559,0
13,13,WheatGDD,1989-06-30,4999,3.945986573808416,0
14,14,WheatGDD,1990-06-30,5364,6.27053117192865,0
15,15,WheatGDD,1991-06-30,5729,5.2571803639191685,0
16,16,WheatGDD,1992-06-30,6095,4.82259211088344,0
17,17,WheatGDD,1993-06-30,6460,3.7294267487989177,0
18,18,WheatGDD,1994-06-30,6825,4.2877083723346185,0
19,19,WheatGDD,1995-06-30,7190,5.449249959645426,0
20,20,WheatGDD,1996-06-30,7556,3.4065119420809995,0
21,21,WheatGDD,1997-06-30,7921,5.820311407559229,0
22,22,WheatGDD,1998-06-27,8283,7.258711407544381,0
23,23,WheatGDD,1999-06-30,8651,3.479650512405766,0
24,24,WheatGDD,2000-06-30,9017,1.9581738009306748,0
25,25,WheatGDD,2001-05-29,9350,0.36319375060121656,0
26,26,WheatGDD,2002-06-30,9747,4.185592046596166,0
27,27,WheatGDD,2003-06-30,10112,5.107537626893935,0
28,28,WheatGDD,2004-06-30,10478,5.577187872195411,0
29,29,WheatGDD,2005-06-30,10843,3.5252144983723466,0
30,30,WheatGDD,2006-06-30,11208,4.179920959004746,0
31,31,WheatGDD,2007-06-26,11569,7.380588361825717,0
32,32,WheatGDD,2008-06-30,11939,3.1912069435047425,0
33,33,WheatGDD,2009-06-30,12304,3.355559647023132,0
34,34,WheatGDD,2010-06-30,12669,6.683844361949536,0
35,35,WheatGDD,2011-06-30,13034,3.939367377338862,0
36,36,WheatGDD,2012-06-28,13398,5.550550733769961,0
37,37,WheatGDD,2013-06-30,13765,5.529271886475165,0
38,38,WheatGDD,2014-06-25,14125,4.66192530612339,0
39,39,WheatGDD,2015-06-27,14492,5.296812237327748,0
40,40,WheatGDD,2016-06-23,14854,6.8226466494218005,0
41,41,WheatGDD,2017-05-27,15192,0.5364798060903796,0
42,42,WheatGDD,2018-06-30,15591,3.390181589377395,0
43,43,WheatGDD,2019-06-29,15955,2.6116030097795093,0
44,44,WheatGDD,2020-06-20,16312,4.892568901279385,0
45,45,WheatGDD,2021-06-21,16678,2.782142341822416,0
46,46,WheatGDD,2022-05-26,17017,0.7892886269231281,0
