,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0,0,WheatGDD,1976-06-30,251,2.092480465327418,0
1,1,WheatGDD,1977-06-30,616,1.693937144319315,0
2,2,WheatGDD,1978-06-30,981,1.9872907008072562,0
3,3,WheatGDD,1979-06-30,1346,4.394403761333942,0
4,4,WheatGDD,1980-06-30,1712,1.6611744850575614,0
5,5,WheatGDD,1981-06-30,2077,1.505624958794967,0
6,6,WheatGDD,1982-06-30,2442,1.0286294892310943,0
7,7,WheatGDD,1983-06-30,2807,2.485302833691713,0
8,8,WheatGDD,1984-06-30,3173,0.8862646235105399,0
9,9,WheatGDD,1985-06-30,3538,2.1222138743694594,0
10,10,WheatGDD,1986-06-30,3903,1.4653819894102702,0
11,11,WheatGDD,1987-06-30,4268,1.3818770670753944,0
12,12,WheatGDD,1988-06-30,4634,1.1806269893327468,0
13,13,WheatGDD,1989-06-30,4999,2.005690960934764,0
14,14,WheatGDD,1990-06-30,5364,4.245285661492849,0
15,15,WheatGDD,1991-06-30,5729,2.277474834981586,0
16,16,WheatGDD,1992-06-30,6095,3.3968229468933937,0
17,17,WheatGDD,1993-06-30,6460,3.272212666150488,0
18,18,WheatGDD,1994-06-30,6825,1.706681214064564,0
19,19,WheatGDD,1995-06-30,7190,1.4375646879046609,0
20,20,WheatGDD,1996-06-30,7556,0.9213564683504064,0
21,21,WheatGDD,1997-06-30,7921,2.4107992053286256,0
22,22,WheatGDD,1998-06-30,8286,5.554270257998432,0
23,23,WheatGDD,1999-06-30,8651,2.861670521820986,0
24,24,WheatGDD,2000-06-30,9017,1.7404053571031008,0
25,25,WheatGDD,2001-06-04,9356,0.04604943305236993,0
26,26,WheatGDD,2002-06-30,9747,3.4316828702362976,0
27,27,WheatGDD,2003-06-30,10112,3.0400323062850303,0
28,28,WheatGDD,2004-06-30,10478,4.050775687293274,0
29,29,WheatGDD,2005-06-30,10843,2.7768470195046855,0
30,30,WheatGDD,2006-06-30,11208,3.5649114310558736,0
31,31,WheatGDD,2007-06-30,11573,4.743531922777531,0
32,32,WheatGDD,2008-06-30,11939,2.406681211880924,0
33,33,WheatGDD,2009-06-30,12304,3.9867316633380345,0
34,34,WheatGDD,2010-06-30,12669,3.3585988335682,0
35,35,WheatGDD,2011-06-30,13034,1.8371489287508564,0
36,36,WheatGDD,2012-06-30,13400,2.6822756760240987,0
37,37,WheatGDD,2013-06-30,13765,2.455779241720774,0
38,38,WheatGDD,2014-06-17,14117,0.9332594764749902,0
39,39,WheatGDD,2015-06-22,14487,1.3948729285698938,0
40,40,WheatGDD,2016-06-30,14861,6.588863687714245,0
41,41,WheatGDD,2017-06-30,15226,1.866584705839004,0
42,42,WheatGDD,2018-06-30,15591,2.5532727880052257,0
43,43,WheatGDD,2019-06-30,15956,1.9861451392888105,0
44,44,WheatGDD,2020-06-30,16322,3.2129213720664715,0
45,45,WheatGDD,2021-06-30,16687,6.482086220604837,0
46,46,WheatGDD,2022-06-06,17028,0.4154215275375715,0
