,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0,0,WheatGDD,1976-06-29,250,6.192244458098184,0
1,1,WheatGDD,1977-06-30,616,2.636148408068503,0
2,2,WheatGDD,1978-06-02,953,1.6975133583332525,0
3,3,WheatGDD,1979-06-24,1340,6.629736137658744,0
4,4,WheatGDD,1980-06-28,1710,2.5819782379362386,0
5,5,WheatGDD,1981-06-30,2077,1.2751586702504722,0
6,6,WheatGDD,1982-06-12,2424,0.7480011158197797,0
7,7,WheatGDD,1983-06-16,2793,2.4422283431805174,0
8,8,WheatGDD,1984-06-30,3173,1.6098378043374622,0
9,9,WheatGDD,1985-06-28,3536,4.491679729476911,0
10,10,WheatGDD,1986-06-30,3903,2.1534336564880796,0
11,11,WheatGDD,1987-06-27,4265,3.2804977981714685,0
12,12,WheatGDD,1988-06-25,4629,4.897541758311429,0
13,13,WheatGDD,1989-06-17,4986,4.309500942285387,0
14,14,WheatGDD,1990-06-18,5352,7.5473234370718805,0
15,15,WheatGDD,1991-06-22,5721,6.5793098342935235,0
16,16,WheatGDD,1992-06-20,6085,6.520458790279337,0
17,17,WheatGDD,1993-06-23,6453,6.459762205759034,0
18,18,WheatGDD,1994-06-23,6818,6.234291282320982,0
19,19,WheatGDD,1995-06-20,7180,7.3563410414892205,0
20,20,WheatGDD,1996-06-29,7555,6.675675832856714,0
21,21,WheatGDD,1997-06-20,7911,6.958772890729336,0
22,22,WheatGDD,1998-06-12,8268,5.66963475911371,0
23,23,WheatGDD,1999-06-16,8637,6.944813262385629,0
24,24,WheatGDD,2000-06-25,9012,7.610756849134925,0
25,25,WheatGDD,2001-06-12,9364,7.281753878645769,0
26,26,WheatGDD,2002-06-17,9734,7.14550981755315,0
27,27,WheatGDD,2003-06-29,10111,6.287418310919427,0
28,28,WheatGDD,2004-06-14,10462,7.366736805972417,0
29,29,WheatGDD,2005-06-17,10830,7.329379066327285,0
30,30,WheatGDD,2006-06-23,11201,7.658066760093139,0
31,31,WheatGDD,2007-06-10,11553,8.023861156368355,0
32,32,WheatGDD,2008-06-19,11928,7.587961658220612,0
33,33,WheatGDD,2009-06-12,12286,7.984921575733146,0
34,34,WheatGDD,2010-06-24,12663,6.867567990237521,0
35,35,WheatGDD,2011-06-26,13030,6.842147078744198,0
36,36,WheatGDD,2012-06-17,13387,6.401458149998331,0
37,37,WheatGDD,2013-06-24,13759,6.33578763271133,0
38,38,WheatGDD,2014-06-11,14111,7.219443626452062,0
39,39,WheatGDD,2015-06-15,14480,6.868731820065053,0
40,40,WheatGDD,2016-06-15,14846,6.599340845738935,0
41,41,WheatGDD,2017-06-10,15206,0.9570188134130573,0
42,42,WheatGDD,2018-06-26,15587,2.755039706321202,0
43,43,WheatGDD,2019-06-21,15947,1.4417884988606298,0
44,44,WheatGDD,2020-06-12,16304,2.2489741563340897,0
45,45,WheatGDD,2021-06-16,16673,2.052333690567564,0
46,46,WheatGDD,2022-05-30,17021,0.5687469735477669,0
