,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0,0,WheatGDD,1976-06-29,250,7.030159294796306,0
1,1,WheatGDD,1977-06-30,616,6.363431790849714,0
2,2,WheatGDD,1978-06-08,959,2.4421588359264708,0
3,3,WheatGDD,1979-06-22,1338,7.3796872913447435,0
4,4,WheatGDD,1980-06-30,1712,6.734439627193951,0
5,5,WheatGDD,1981-06-30,2077,4.228963410005277,0
6,6,WheatGDD,1982-06-30,2442,3.248396704632569,0
7,7,WheatGDD,1983-06-24,2801,6.867357728522437,0
8,8,WheatGDD,1984-06-30,3173,3.682406088306496,0
9,9,WheatGDD,1985-06-29,3537,7.0251365236486105,0
10,10,WheatGDD,1986-06-30,3903,6.208823313025058,0
11,11,WheatGDD,1987-06-30,4268,7.025965612913894,0
12,12,WheatGDD,1988-06-27,4631,6.618506888732299,0
13,13,WheatGDD,1989-06-22,4991,5.955552357203119,0
14,14,WheatGDD,1990-06-22,5356,7.631065637270145,0
15,15,WheatGDD,1991-06-20,5719,6.160648500526619,0
16,16,WheatGDD,1992-06-25,6090,6.511328176625032,0
17,17,WheatGDD,1993-06-28,6458,5.401193253045737,0
18,18,WheatGDD,1994-06-25,6820,5.241183367356835,0
19,19,WheatGDD,1995-06-25,7185,6.397663472842461,0
20,20,WheatGDD,1996-06-30,7556,4.809483794806737,0
21,21,WheatGDD,1997-06-24,7915,7.4092489725158615,0
22,22,WheatGDD,1998-06-12,8268,5.446701960859464,0
23,23,WheatGDD,1999-06-17,8638,6.51643795925164,0
24,24,WheatGDD,2000-06-27,9014,7.358253906765081,0
25,25,WheatGDD,2001-06-24,9376,5.941121394639114,0
26,26,WheatGDD,2002-06-18,9735,5.947406663524013,0
27,27,WheatGDD,2003-06-27,10109,5.201554208453117,0
28,28,WheatGDD,2004-06-21,10469,6.71476286030817,0
29,29,WheatGDD,2005-06-23,10836,6.322412643603467,0
30,30,WheatGDD,2006-06-26,11204,6.1916801979721265,0
31,31,WheatGDD,2007-06-13,11556,6.853423198238066,0
32,32,WheatGDD,2008-06-18,11927,6.773258221136663,0
33,33,WheatGDD,2009-06-13,12287,6.944260523305155,0
34,34,WheatGDD,2010-06-21,12660,5.9316278439392685,0
35,35,WheatGDD,2011-06-29,13033,6.762425215578106,0
36,36,WheatGDD,2012-06-20,13390,6.018065987632369,0
37,37,WheatGDD,2013-06-28,13763,5.68739696584453,0
38,38,WheatGDD,2014-06-17,14117,6.595299470687385,0
39,39,WheatGDD,2015-06-20,14485,5.738958708891042,0
40,40,WheatGDD,2016-06-09,14840,5.81430957391613,0
41,41,WheatGDD,2017-06-15,15211,3.439211397908428,0
42,42,WheatGDD,2018-06-17,15578,5.028430143849271,0
43,43,WheatGDD,2019-06-19,15945,5.192158840625052,0
44,44,WheatGDD,2020-06-08,16300,5.123106721408023,0
45,45,WheatGDD,2021-06-10,16667,4.521378885135383,0
46,46,WheatGDD,2022-06-13,17035,4.453476197719163,0
