,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0,0,WheatGDD,1976-06-30,251,6.9052613950234845,0
1,1,WheatGDD,1977-06-30,616,6.000555715269663,0
2,2,WheatGDD,1978-06-27,978,4.634181866101271,0
3,3,WheatGDD,1979-06-28,1344,7.188256202661365,0
4,4,WheatGDD,1980-06-30,1712,5.8777943305711196,0
5,5,WheatGDD,1981-06-30,2077,4.395867591327716,0
6,6,WheatGDD,1982-06-30,2442,3.7593114620677412,0
7,7,WheatGDD,1983-06-29,2806,6.775519129302933,0
8,8,WheatGDD,1984-06-30,3173,3.914292523165751,0
9,9,WheatGDD,1985-06-30,3538,6.035898564873782,0
10,10,WheatGDD,1986-06-30,3903,5.573632030624492,0
11,11,WheatGDD,1987-06-30,4268,6.054926427021201,0
12,12,WheatGDD,1988-06-30,4634,5.661769682915291,0
13,13,WheatGDD,1989-06-30,4999,6.479425655195059,0
14,14,WheatGDD,1990-06-27,5361,7.466816835906359,0
15,15,WheatGDD,1991-06-28,5727,5.7717083181997495,0
16,16,WheatGDD,1992-06-30,6095,6.463929012708856,0
17,17,WheatGDD,1993-06-30,6460,4.526084661571528,0
18,18,WheatGDD,1994-06-30,6825,5.029994615406555,0
19,19,WheatGDD,1995-06-30,7190,6.401867665187252,0
20,20,WheatGDD,1996-06-30,7556,3.710713281651012,0
21,21,WheatGDD,1997-06-30,7921,7.431572081835924,0
22,22,WheatGDD,1998-06-18,8274,5.2374815931900764,0
23,23,WheatGDD,1999-06-24,8645,6.513967960966206,0
24,24,WheatGDD,2000-06-29,9016,7.204344758790935,0
25,25,WheatGDD,2001-06-27,9379,4.7548423705852505,0
26,26,WheatGDD,2002-06-22,9739,7.73501726477026,0
27,27,WheatGDD,2003-06-30,10112,7.151926013211095,0
28,28,WheatGDD,2004-06-24,10472,6.2075739596164885,0
29,29,WheatGDD,2005-06-27,10840,6.45774317382092,0
30,30,WheatGDD,2006-06-30,11208,6.504237273315642,0
31,31,WheatGDD,2007-06-21,11564,7.731450644032999,0
32,32,WheatGDD,2008-06-28,11937,5.655948141921378,0
33,33,WheatGDD,2009-06-25,12299,5.91694774957278,0
34,34,WheatGDD,2010-06-30,12669,7.129179286759751,0
35,35,WheatGDD,2011-06-30,13034,4.433141106451336,0
36,36,WheatGDD,2012-06-26,13396,6.131762439735287,0
37,37,WheatGDD,2013-06-30,13765,6.9678712365511,0
38,38,WheatGDD,2014-06-22,14122,6.248741887930959,0
39,39,WheatGDD,2015-06-25,14490,6.471565337893717,0
40,40,WheatGDD,2016-06-16,14847,8.213099880712067,0
41,41,WheatGDD,2017-06-24,15220,2.9623444783354937,0
42,42,WheatGDD,2018-06-27,15588,4.757856679339726,0
43,43,WheatGDD,2019-06-26,15952,4.863980292077946,0
44,44,WheatGDD,2020-06-16,16308,4.883099344353741,0
45,45,WheatGDD,2021-06-17,16674,5.104943419572143,0
46,46,WheatGDD,2022-06-22,17044,4.4064701024001245,0
