,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0,0,WheatGDD,1976-06-28,249,7.109427672372858,0
1,1,WheatGDD,1977-06-30,616,6.549572856760774,0
2,2,WheatGDD,1978-06-24,975,4.093592108563073,0
3,3,WheatGDD,1979-06-25,1341,6.932324091001755,0
4,4,WheatGDD,1980-06-29,1711,6.1605124443300046,0
5,5,WheatGDD,1981-06-30,2077,3.151214990499386,0
6,6,WheatGDD,1982-06-30,2442,3.3475878215539403,0
7,7,WheatGDD,1983-06-30,2807,6.453647783814968,0
8,8,WheatGDD,1984-06-30,3173,2.137356214326481,0
9,9,WheatGDD,1985-06-30,3538,6.483438700680908,0
10,10,WheatGDD,1986-06-30,3903,3.56207494603807,0
11,11,WheatGDD,1987-06-30,4268,5.4970032736571675,0
12,12,WheatGDD,1988-06-30,4634,6.736786313564041,0
13,13,WheatGDD,1989-06-29,4998,6.120702732736135,0
14,14,WheatGDD,1990-06-26,5360,7.34172253631307,0
15,15,WheatGDD,1991-06-30,5729,7.2085526799647255,0
16,16,WheatGDD,1992-06-30,6095,5.858963958082062,0
17,17,WheatGDD,1993-06-30,6460,5.163114588171924,0
18,18,WheatGDD,1994-06-30,6825,6.295568719316667,0
19,19,WheatGDD,1995-06-30,7190,5.6645603094704375,0
20,20,WheatGDD,1996-06-30,7556,3.15043265323703,0
21,21,WheatGDD,1997-06-30,7921,6.984633328168091,0
22,22,WheatGDD,1998-06-21,8277,6.6874812589673445,0
23,23,WheatGDD,1999-06-27,8648,5.085866681351581,0
24,24,WheatGDD,2000-06-30,9017,2.774468836485989,0
25,25,WheatGDD,2001-06-30,9382,4.675230482265334,0
26,26,WheatGDD,2002-06-26,9743,7.778829329174612,0
27,27,WheatGDD,2003-06-30,10112,6.538046611235177,0
28,28,WheatGDD,2004-06-27,10475,7.52165017902541,0
29,29,WheatGDD,2005-06-29,10842,7.584070074581798,0
30,30,WheatGDD,2006-06-30,11208,5.993343198631404,0
31,31,WheatGDD,2007-06-24,11567,6.372619847724174,0
32,32,WheatGDD,2008-06-28,11937,5.51099866136017,0
33,33,WheatGDD,2009-06-21,12295,7.281207815104052,0
34,34,WheatGDD,2010-06-30,12669,6.420559428516317,0
35,35,WheatGDD,2011-06-30,13034,4.623600278811971,0
36,36,WheatGDD,2012-06-30,13400,7.8515319577789295,0
37,37,WheatGDD,2013-06-30,13765,6.533088354850916,0
38,38,WheatGDD,2014-06-28,14128,7.215593488741998,0
39,39,WheatGDD,2015-06-30,14495,7.3179958462011525,0
40,40,WheatGDD,2016-06-22,14853,5.752077633102645,0
41,41,WheatGDD,2017-06-28,15224,6.230489996411415,0
42,42,WheatGDD,2018-06-30,15591,5.915133564136282,0
43,43,WheatGDD,2019-06-28,15954,4.376173117303749,0
44,44,WheatGDD,2020-06-21,16313,4.987937532297473,0
45,45,WheatGDD,2021-06-22,16679,5.418496492373999,0
46,46,WheatGDD,2022-06-26,17048,2.4873680938983904,0
