,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0,0,WheatGDD,1976-06-30,251,6.7124291446565065,0
1,1,WheatGDD,1977-06-30,616,4.001987849569953,0
2,2,WheatGDD,1978-06-29,980,3.366983061815948,0
3,3,WheatGDD,1979-06-28,1344,7.213269792461375,0
4,4,WheatGDD,1980-06-30,1712,4.2036961335174245,0
5,5,WheatGDD,1981-06-30,2077,1.9773509385254922,0
6,6,WheatGDD,1982-06-24,2436,2.310344359513309,0
7,7,WheatGDD,1983-06-30,2807,6.372815340717063,0
8,8,WheatGDD,1984-06-30,3173,2.070416620093017,0
9,9,WheatGDD,1985-06-30,3538,5.8982112108622164,0
10,10,WheatGDD,1986-06-30,3903,2.6143445557598075,0
11,11,WheatGDD,1987-06-30,4268,4.685501527050235,0
12,12,WheatGDD,1988-06-30,4634,5.523676634849748,0
13,13,WheatGDD,1989-06-29,4998,5.186783313348129,0
14,14,WheatGDD,1990-06-25,5359,7.669543897933299,0
15,15,WheatGDD,1991-06-28,5727,6.831244984829936,0
16,16,WheatGDD,1992-06-30,6095,5.471233162934064,0
17,17,WheatGDD,1993-06-30,6460,4.8989012713256,0
18,18,WheatGDD,1994-06-30,6825,5.35243485090644,0
19,19,WheatGDD,1995-06-30,7190,4.350021733751282,0
20,20,WheatGDD,1996-06-30,7556,2.8266722360886463,0
21,21,WheatGDD,1997-06-25,7916,7.075079339047125,0
22,22,WheatGDD,1998-06-16,8272,5.378759478407001,0
23,23,WheatGDD,1999-06-27,8648,6.480389523532772,0
24,24,WheatGDD,2000-06-30,9017,7.39189036078801,0
25,25,WheatGDD,2001-06-30,9382,6.762443013366552,0
26,26,WheatGDD,2002-06-25,9742,6.763378688435653,0
27,27,WheatGDD,2003-06-30,10112,6.187930971572393,0
28,28,WheatGDD,2004-06-21,10469,6.675071868797944,0
29,29,WheatGDD,2005-06-24,10837,6.685049056379017,0
30,30,WheatGDD,2006-06-30,11208,6.090156233496876,0
31,31,WheatGDD,2007-06-29,11572,7.412108278680164,0
32,32,WheatGDD,2008-06-29,11938,7.26740635569406,0
33,33,WheatGDD,2009-06-19,12293,7.790064767018186,0
34,34,WheatGDD,2010-06-30,12669,6.018255292352299,0
35,35,WheatGDD,2011-06-30,13034,5.97014867330869,0
36,36,WheatGDD,2012-06-25,13395,6.222145063438847,0
37,37,WheatGDD,2013-06-30,13765,5.694589311795817,0
38,38,WheatGDD,2014-06-21,14121,6.912787868796816,0
39,39,WheatGDD,2015-06-26,14491,6.755174872340765,0
40,40,WheatGDD,2016-06-14,14845,6.408574941929968,0
41,41,WheatGDD,2017-06-22,15218,7.258928393317762,0
42,42,WheatGDD,2018-06-28,15589,6.689956198815983,0
43,43,WheatGDD,2019-06-26,15952,7.81550964744297,0
44,44,WheatGDD,2020-06-17,16309,7.719274184426301,0
45,45,WheatGDD,2021-06-20,16677,7.475298087939975,0
46,46,WheatGDD,2022-06-20,17042,8.40882770176035,0
