,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0,0,WheatGDD,1976-06-30,251,2.1178478713029665,0
1,1,WheatGDD,1977-06-30,616,3.0480682100091987,0
2,2,WheatGDD,1978-06-30,981,2.176618976166952,0
3,3,WheatGDD,1979-06-30,1346,5.170358759197479,0
4,4,WheatGDD,1980-06-30,1712,2.669641763166992,0
5,5,WheatGDD,1981-06-30,2077,1.4574757851540148,0
6,6,WheatGDD,1982-06-30,2442,1.0961126038141622,0
7,7,WheatGDD,1983-06-30,2807,3.3751841169020587,0
8,8,WheatGDD,1984-06-30,3173,0.795604473091342,0
9,9,WheatGDD,1985-06-30,3538,3.157371564586492,0
10,10,WheatGDD,1986-06-30,3903,1.8119729408123895,0
11,11,WheatGDD,1987-06-30,4268,2.4707438984881205,0
12,12,WheatGDD,1988-06-30,4634,2.207423101740996,0
13,13,WheatGDD,1989-06-30,4999,3.1814854348486117,0
14,14,WheatGDD,1990-06-30,5364,5.071560341236445,0
15,15,WheatGDD,1991-06-30,5729,4.745226491276009,0
16,16,WheatGDD,1992-06-30,6095,3.4536489844318026,0
17,17,WheatGDD,1993-06-30,6460,3.888209629267608,0
18,18,WheatGDD,1994-06-30,6825,3.3375470865665178,0
19,19,WheatGDD,1995-06-30,7190,2.4451899265959627,0
20,20,WheatGDD,1996-06-30,7556,2.2775215041635826,0
21,21,WheatGDD,1997-06-30,7921,5.323677719155795,0
22,22,WheatGDD,1998-06-29,8285,7.047541746795325,0
23,23,WheatGDD,1999-06-30,8651,3.168101081831826,0
24,24,WheatGDD,2000-06-30,9017,1.0197322052222022,0
25,25,WheatGDD,2001-06-02,9354,0.12122650803191293,0
26,26,WheatGDD,2002-06-30,9747,2.4627664984335538,0
27,27,WheatGDD,2003-06-30,10112,2.871328930540747,0
28,28,WheatGDD,2004-06-30,10478,4.4369216955054585,0
29,29,WheatGDD,2005-06-30,10843,4.493610552317099,0
30,30,WheatGDD,2006-06-30,11208,3.6989646402940672,0
31,31,WheatGDD,2007-06-30,11573,6.90539837743495,0
32,32,WheatGDD,2008-06-30,11939,3.9696442543040114,0
33,33,WheatGDD,2009-06-30,12304,4.746760327225584,0
34,34,WheatGDD,2010-06-30,12669,5.4584330165431085,0
35,35,WheatGDD,2011-06-30,13034,2.8857830761158376,0
36,36,WheatGDD,2012-06-20,13390,2.4426614902814103,0
37,37,WheatGDD,2013-06-30,13765,4.26084090466018,0
38,38,WheatGDD,2014-06-30,14130,3.7125610054583578,0
39,39,WheatGDD,2015-06-20,14485,2.2327115332482292,0
40,40,WheatGDD,2016-06-25,14856,7.844364622727681,0
41,41,WheatGDD,2017-06-03,15199,0.7537735146753678,0
42,42,WheatGDD,2018-06-30,15591,5.299473706527238,0
43,43,WheatGDD,2019-06-30,15956,3.2662666325778034,0
44,44,WheatGDD,2020-06-30,16322,5.407058813310922,0
45,45,WheatGDD,2021-06-30,16687,6.662591608608813,0
46,46,WheatGDD,2022-06-09,17031,1.3169554578218547,0
