Feature,Importance
관개,0.0007822146985976903
수장(cm)_개화후2주,0.0011499405795558683
수장(cm)_개화기,0.0022601946179516717
수장(cm)_개화후4주,0.0030608805513011954
파종,0.0037189300651956168
간장(cm)_개화기,0.003862745165651517
SPAD_분얼후기,0.004078582184530756
유수길이(mm)_분얼전기,0.004623670516497021
유수길이(mm)_분얼후기,0.005486990469308569
시비,0.0064119396036915475
1수영화수_개화기,0.006593544677296675
엽록소함량(µmol/m2)_개화기,0.007886502536028796
초장(cm)_분얼전기,0.009361506432999756
군집(LAI)_개화후4주,0.011379329319853169
LAI_분얼전기,0.020928640744301213
간장(cm)_개화후4주,0.03573413991879073
엽록소함량(µmol/m2)_개화후2주,0.0358577278016377
군집(LAI)_개화기,0.042646385832465786
초장(cm)_분얼후기,0.04579843390131651
LAI_분얼후기,0.049545451841466775
엽록소함량(µmol/m2)_개화후4주,0.08896324450314358
SPAD_분얼전기,0.16829862557847985
군집(LAI)_개화후2주,0.21840353780437102
간장(cm)_개화후2주,0.22316684065556697
