Feature,Importance
수장(cm)_개화기,0.0019244589416912738
수장(cm)_개화후2주,0.0025474339492780346
수장(cm)_개화후4주,0.004490589818875043
유수길이(mm)_분얼후기,0.005023640526928571
SPAD_분얼후기,0.005971699645604728
1수영화수_개화기,0.006042093218547883
엽록소함량(µmol/m2)_개화기,0.006901814860715434
유수길이(mm)_분얼전기,0.006969264997737217
간장(cm)_개화기,0.007088131235725248
초장(cm)_분얼전기,0.009991073383358683
군집(LAI)_개화후4주,0.011268888204628034
LAI_분얼전기,0.024665152809953014
엽록소함량(µmol/m2)_개화후2주,0.0355971530783327
간장(cm)_개화후4주,0.03698504057106488
초장(cm)_분얼후기,0.04320235607508401
LAI_분얼후기,0.04516240745475094
군집(LAI)_개화기,0.046167331346915155
엽록소함량(µmol/m2)_개화후4주,0.08374884990858852
SPAD_분얼전기,0.16654084675180705
군집(LAI)_개화후2주,0.2231590453725599
간장(cm)_개화후2주,0.2265527278478537
