Feature,Importance
NDRE_개화후2주,0.0
엽록소함량(µmol/m2)_개화후2주,0.0
경수(1*1m2)_개화후4주,0.0
NDRE_분얼후기,0.0
GNDVI_분얼후기,0.0
GNDVI_개화기,0.0
RVI_개화후4주,0.0
NDVI_분얼전,0.0
NDVI_개화기,0.0
NDRE_개화후4주,0.0
RVI_개화후2주,0.0
수장(cm)_개화기,0.0
RVI_개화기,0.0
GNDVI_개화후2주,0.0
간장(cm)_개화후4주,0.0
경수(1*1m2)_개화후2주,0.0
RVI_분얼전기,0.0
군집(LAI)_개화후4주,6.330657e-12
RVI_분얼전,9.353774e-12
GNDVI_분얼전,1.4369813e-11
수장(cm)_개화후4주,3.834356e-11
GNDVI_개화후4주,6.756534e-11
LAI_분얼전기,7.7186056e-11
군집(LAI)_개화기,2.8312316e-10
NDRE_분얼전기,8.445446e-10
CVI_분얼전기,1.4892213e-09
GNDVI_분얼전기,5.722777e-09
RVI_분얼후기,1.5417948e-08
NDVI_분얼전기,1.32644e-07
수장(cm)_개화후2주,5.255752e-06
NDVI_개화후2주,8.154709e-06
1수영화수_개화기,6.85251e-05
경수(20*20cm2)_개화후2주,0.0001831691
LAI_분얼후기,0.00027252687
CVI_개화기,0.00028125965
SPAD_분얼후기,0.00036742107
유수길이(mm)_분얼후기,0.00042274944
초장(cm)_분얼전기,0.0004391
반복,0.00054426823
유수길이(mm)_분얼전기,0.0009605429
간장(cm)_개화기,0.002041939
경수(20*20cm2)_개화후4주,0.0021204806
CVI_분얼전,0.0035717003
NDVI_분얼후기,0.0048137526
엽록소함량(µmol/m2)_개화기,0.0050124316
초장(cm)_분얼후기,0.0056027872
CVI_분얼후기,0.0063692154
경수(20*20cm2)_개화기,0.007960655
NDRE_분얼전,0.009333565
CVI_개화후2주,0.011976759
NDRE_개화기,0.014030789
엽록소함량(µmol/m2)_개화후4주,0.016822334
SPAD_분얼전기,0.020552333
CVI_개화후4주,0.06544313
NDVI_개화후4주,0.10526859
군집(LAI)_개화후2주,0.25600824
간장(cm)_개화후2주,0.45951816
