Feature,Importance
파종,0.0
GNDVI_개화기,0.0
NDRE_분얼후기,0.0
GNDVI_개화후2주,0.0
시비,0.0
GNDVI_개화후4주,0.0
RVI_분얼전,0.0
RVI_분얼후기,0.0
RVI_개화기,0.0
RVI_개화후2주,0.0
RVI_개화후4주,0.0
수장(cm)_개화후2주,0.0
간장(cm)_개화후4주,0.0
관개,0.0
RVI_분얼전기,1.5693762e-11
GNDVI_분얼후기,4.0784676e-10
NDRE_개화기,6.11261e-09
NDRE_분얼전기,6.5599455e-09
NDVI_개화기,1.0883669e-08
CVI_분얼전기,1.7299074e-08
CVI_개화기,2.7419759e-08
CVI_개화후2주,4.4748397e-08
NDVI_개화후2주,2.598327e-07
LAI_분얼전기,9.1754487e-07
1수영화수_개화기,1.5850295e-06
GNDVI_분얼전기,2.6929677e-06
CVI_분얼전,6.2615973e-06
CVI_개화후4주,1.5171152e-05
엽록소함량(µmol/m2)_개화기,3.020901e-05
GNDVI_분얼전,3.9635226e-05
간장(cm)_개화기,4.1181713e-05
LAI_분얼후기,6.153252e-05
수장(cm)_개화후4주,6.574889e-05
유수길이(mm)_분얼전기,0.0001572651
유수길이(mm)_분얼후기,0.00016876399
초장(cm)_분얼전기,0.00022954286
수장(cm)_개화기,0.00026691967
NDVI_분얼전기,0.0003162533
군집(LAI)_개화기,0.00038477354
군집(LAI)_개화후4주,0.0014149379
엽록소함량(µmol/m2)_개화후2주,0.0019735072
NDRE_분얼전,0.0044009658
CVI_분얼후기,0.006807222
NDRE_개화후2주,0.0077236546
SPAD_분얼전기,0.010694135
NDRE_개화후4주,0.014440419
NDVI_분얼후기,0.017218744
SPAD_분얼후기,0.01949295
NDVI_분얼전,0.023489028
엽록소함량(µmol/m2)_개화후4주,0.08584311
군집(LAI)_개화후2주,0.123506285
초장(cm)_분얼후기,0.20040168
간장(cm)_개화후2주,0.20749359
NDVI_개화후4주,0.2733109
