Feature,Importance
RVI_분얼전,4.1314e-11
RVI_분얼전기,0.00011544363
RVI_개화후2주,0.00040713474
GNDVI_개화기,0.00050919893
NDVI_분얼후기,0.0032274413
NDVI_분얼전,0.0049202787
CVI_개화기,0.0052466188
NDVI_개화후2주,0.0067718658
GNDVI_분얼전,0.007205687
GNDVI_개화후4주,0.0077399784
NDRE_개화후2주,0.007935282
CVI_개화후4주,0.00905414
CVI_분얼전,0.009193077
NDRE_분얼후기,0.015798664
NDRE_개화기,0.0169691
NDRE_분얼전,0.01781688
RVI_개화기,0.01809765
NDVI_개화후4주,0.020348052
RVI_개화후4주,0.022195566
RVI_분얼후기,0.025396558
NDVI_개화기,0.025697285
CVI_개화후2주,0.029954202
CVI_분얼후기,0.030614007
NDRE_분얼전기,0.037794936
NDRE_개화후4주,0.044564687
GNDVI_개화후2주,0.053096473
NDVI_분얼전기,0.093561836
CVI_분얼전기,0.095769994
GNDVI_분얼전기,0.14366211
GNDVI_분얼후기,0.24633592
