Feature,Importance
간장(cm)_개화후4주,0.0
수장(cm)_개화후2주,0.0
1수영화수_개화기,0.0
수장(cm)_개화기,0.0
SPAD_분얼후기,2.8615268e-11
간장(cm)_개화기,6.907724e-10
수장(cm)_개화후4주,8.554785e-10
유수길이(mm)_분얼후기,4.24128e-09
초장(cm)_분얼전기,6.873498e-09
군집(LAI)_개화후4주,8.4638475e-07
엽록소함량(µmol/m2)_개화기,3.1320412e-06
엽록소함량(µmol/m2)_개화후4주,4.1445146e-06
LAI_분얼후기,0.0005585579
LAI_분얼전기,0.0011902145
유수길이(mm)_분얼전기,0.00805449
SPAD_분얼전기,0.0113440305
엽록소함량(µmol/m2)_개화후2주,0.044333532
군집(LAI)_개화기,0.05050441
초장(cm)_분얼후기,0.09492556
간장(cm)_개화후2주,0.3154107
군집(LAI)_개화후2주,0.47367033
