Feature,Importance
간장(cm)_개화후2주,0.21367698337322058
군집(LAI)_개화후2주,0.15115665861566563
SPAD_분얼전기,0.13287482236854997
CVI_개화후2주,0.06044419429319574
엽록소함량(µmol/m2)_개화후4주,0.0569399244789518
NDRE_개화기,0.04556902616580534
초장(cm)_분얼후기,0.04006899220874874
군집(LAI)_개화기,0.02960132635208081
LAI_분얼전기,0.02626470986205456
GNDVI_개화후2주,0.02460416368356424
LAI_분얼후기,0.02046233246046253
NDRE_분얼전,0.0184873668677409
간장(cm)_개화후4주,0.018412017991840387
CVI_분얼전기,0.013728287296019574
RVI_분얼전,0.012581959068293532
GNDVI_개화후4주,0.010366368701998783
엽록소함량(µmol/m2)_개화후2주,0.009950989562067948
CVI_분얼전,0.009850642412030862
NDVI_개화후4주,0.009242170367056433
NDRE_개화후4주,0.007474744363800502
RVI_개화후4주,0.006542223506196266
NDVI_분얼전,0.006507392640917985
CVI_개화후4주,0.006454251900690241
NDVI_분얼후기,0.005968704481717319
1수영화수_개화기,0.005705661186568487
군집(LAI)_개화후4주,0.005511632146894289
SPAD_분얼후기,0.004803761150175342
파종,0.004434139615396818
RVI_분얼전기,0.004416649261240912
간장(cm)_개화기,0.004197283590385362
초장(cm)_분얼전기,0.0035905311019648455
유수길이(mm)_분얼후기,0.00285972022824605
수장(cm)_개화기,0.002681199129016882
수장(cm)_개화후4주,0.0020090693759668827
RVI_분얼후기,0.001840618936004939
GNDVI_분얼전,0.0016042313440249615
CVI_개화기,0.0015847024379824044
CVI_분얼후기,0.0015375170516621734
수장(cm)_개화후2주,0.0014304491481644138
NDVI_개화기,0.0013530627356511111
RVI_개화기,0.001332635026222066
엽록소함량(µmol/m2)_개화기,0.0013025677959301396
GNDVI_분얼전기,0.0013005814492012945
RVI_개화후2주,0.0012095464677868509
NDVI_분얼전기,0.0011917467080831217
NDRE_분얼후기,0.0011803868585307574
NDVI_개화후2주,0.0011343942887139797
유수길이(mm)_분얼전기,0.001063675294891886
NDRE_분얼전기,0.0009928120361829447
GNDVI_개화기,0.0009048743047622708
관개,0.000857202739925331
NDRE_개화후2주,0.000390409817504296
GNDVI_분얼후기,0.0003280689657231419
시비,2.0616784525548363e-05
