Feature,Importance
NDRE_분얼후기,0.43308783
파종,0.1611005
CVI_개화기,0.11482379
CVI_분얼전기,0.06080445
엽록소함량(µmol/m2)_개화기,0.026968645
GNDVI_분얼후기,0.0190762
CVI_개화후4주,0.014490948
RVI_분얼전기,0.014487863
NDVI_분얼전기,0.013512396
NDVI_개화기,0.0128990235
LAI_분얼후기,0.011605329
수장(cm)_개화후2주,0.010486343
엽록소함량(µmol/m2)_개화후2주,0.009316267
수장(cm)_개화후4주,0.008547003
NDRE_개화기,0.00829353
유수길이(mm)_분얼전기,0.0066294307
엽록소함량(µmol/m2)_개화후4주,0.0063895946
SPAD_분얼전기,0.005955838
간장(cm)_개화기,0.0052966764
군집(LAI)_개화후4주,0.0046843626
GNDVI_개화후4주,0.00463913
수장(cm)_개화기,0.0042597335
NDRE_분얼전,0.0038088441
RVI_개화기,0.0036221484
LAI_분얼전기,0.003571394
CVI_개화후2주,0.003418745
NDVI_분얼전,0.003254298
NDVI_분얼후기,0.0031237463
NDRE_개화후2주,0.0029143225
NDRE_개화후4주,0.0028581847
초장(cm)_분얼후기,0.0027954497
CVI_분얼후기,0.002284848
군집(LAI)_개화기,0.0021559088
SPAD_분얼후기,0.0012363985
GNDVI_분얼전,0.0012081495
NDVI_개화후2주,0.0011956312
초장(cm)_분얼전기,0.0009975206
1수영화수_개화기,0.00076917006
간장(cm)_개화후2주,0.0007163399
간장(cm)_개화후4주,0.0006265772
시비,0.00059148634
CVI_분얼전,0.0005001225
GNDVI_분얼전기,0.0003880575
군집(LAI)_개화후2주,0.00032881755
NDVI_개화후4주,0.00011457964
GNDVI_개화후2주,0.000111553825
RVI_개화후4주,4.8943428e-05
NDRE_분얼전기,2.417381e-06
RVI_분얼후기,9.546603e-07
RVI_분얼전,5.493177e-07
RVI_개화후2주,2.2924562e-10
GNDVI_개화기,2.1038087e-10
관개,0.0
