반복,조사지,초장(cm)_분얼전기,유수길이(mm)_분얼전기,SPAD_분얼전기,LAI_분얼전기,초장(cm)_분얼후기,SPAD_분얼후기,LAI_분얼후기,간장(cm)_개화기,수장(cm)_개화기,엽록소함량(µmol/m2)_개화기,군집(LAI)_개화기,경수(20*20cm2)_개화기,1수영화수_개화기,간장(cm)_개화후2주,수장(cm)_개화후2주,엽록소함량(µmol/m2)_개화후2주,군집(LAI)_개화후2주,간장(cm)_개화후4주,수장(cm)_개화후4주,엽록소함량(µmol/m2)_개화후4주,군집(LAI)_개화후4주,NDVI_분얼전,NDVI_분얼전기,NDVI_분얼후기,NDVI_개화기,NDVI_개화후2주,NDVI_개화후4주,NDVI_수확기,NDRE_분얼전,NDRE_분얼전기,NDRE_분얼후기,NDRE_개화기,NDRE_개화후2주,NDRE_개화후4주,NDRE_수확기,GNDVI_분얼전,GNDVI_분얼전기,GNDVI_분얼후기,GNDVI_개화기,GNDVI_개화후2주,GNDVI_개화후4주,GNDVI_수확기,RVI_분얼전,RVI_분얼전기,RVI_분얼후기,RVI_개화기,RVI_개화후2주,RVI_개화후4주,RVI_수확기,CVI_분얼전,CVI_분얼전기,CVI_분얼후기,CVI_개화기,CVI_개화후2주,CVI_개화후4주,CVI_수확기,drone_yield,관개,시비,파종
1,Plot 1,20,1.5,37.6,0.07,34.5,40.6,0.56,37,7.0,46.4,0.75,20,38,53,7,43.9,0.98,46,7,11.3,0.24,0.245835661,0.417374382,0.596960245,0.717547439,0.516465452,0.381446627,0.376604273,0.091105674,0.168713916,0.25377661,0.319397123,0.222086978,0.135558649,0.190098474,0.390779324,0.49560941,0.607974297,0.70358071,0.624365747,0.560489751,0.503557659,1.686052784,2.557755067,4.136383148,6.261068066,3.151644276,2.254653093,2.755476351,0.022685341,0.037814957,0.009587413,0.010354007,0.010016433,0.007440714,0.011308561,73.85637209,0,0,0
2,Plot 1,22,1.2,38.1,0.07,35,41.6,0.6,38,8.0,46.8,0.79,25,41,55,6,46.6,1.1,46,9,12,0.25,0.148204633,0.177955054,0.486963531,0.690083066,0.746587208,0.594533822,0.506691719,0.060530877,0.086592054,0.201215258,0.304969873,0.295112195,0.174931161,0.195646655,0.334054888,0.359477694,0.551627002,0.692095554,0.693935892,0.638726166,0.5727411,1.35067871,1.438161355,3.097073029,5.855329538,7.179480851,4.069428607,4.132883272,0.017849419,0.03910211,0.008343182,0.014347843,0.012182865,0.009721367,0.021555238,56.98418605,0,0,0
3,Plot 1,18,1.5,38.7,0.07,35,42.9,0.61,50,6.0,48.3,0.82,27,45,55,8,47.6,1.1,48,7,12.5,0.31,0.138614357,0.181572971,0.482288072,0.618135795,0.758031094,0.619358416,0.489218611,0.056188844,0.086230704,0.188701424,0.257707831,0.30221576,0.182728573,0.186578386,0.320445133,0.356620907,0.543672675,0.652268672,0.696372881,0.651446264,0.569347131,1.324471776,1.450933771,2.964707578,4.588835153,7.491291448,4.442514658,3.652605996,0.021166164,0.039562578,0.007864614,0.01611818,0.011345377,0.009151594,0.024777427,39.82809302,0,0,0
4,Plot 1,18.5,1,39.2,0.08,39,43.2,0.68,52,5.0,48.5,0.83,29.35,45,58,7,49.3,1.19,49,7.5,12.9,0.35,0.182973609,0.234428184,0.598413304,0.710436535,0.705507432,0.653409609,0.559546707,0.076803234,0.10774295,0.241932975,0.315848859,0.315018007,0.195007773,0.191967965,0.374597456,0.399531639,0.602433643,0.701255011,0.699592658,0.649827233,0.552551437,1.453146085,1.631073177,4.130737785,6.20030037,5.989091792,4.953462055,4.504335826,0.01866216,0.038895347,0.007245924,0.013105828,0.011026841,0.008427193,0.018758769,87.68669767,0,0,0
5,Plot 1,19.5,0.7,39.7,0.08,39,44.9,0.73,52,6.0,48.6,0.83,30,46,58,7,49.6,1.31,50,7,13,0.36,0.13548058,0.239404856,0.653357534,0.784480934,0.718857777,0.67340912,0.567736279,0.051927713,0.100531326,0.285768231,0.382010525,0.33663505,0.207751695,0.213966811,0.313676028,0.390062076,0.633279747,0.747089234,0.716304653,0.666589933,0.571715358,1.316021065,1.647158352,4.925807706,8.504101667,6.262562675,5.46247596,4.688216624,0.029756407,0.044149144,0.007476811,0.010484212,0.010260903,0.008049513,0.016681483,149.1728372,0,0,0
6,Plot 1,20,1.7,39.8,0.08,39,45.5,0.76,53,6.0,48.8,0.91,35,46,59,6,50,1.31,50,8,13.2,0.53,0.162428269,0.252295655,0.610080161,0.802677678,0.798467184,0.62744006,0.442799663,0.066399096,0.111150069,0.252494558,0.381639761,0.380724951,0.190612799,0.192877667,0.341273724,0.402177697,0.606989429,0.753349879,0.755319872,0.64860196,0.550021374,1.393082312,1.712613157,4.345806818,9.605194441,9.243777725,4.638240067,4.415907815,0.022664279,0.038924571,0.007775656,0.010347123,0.009991705,0.00827978,0.016849017,106.4651163,0,0,0
7,Plot 1,23,1.5,40.2,0.1,40,46.4,0.99,53,6.0,50.2,0.96,,46,60,7,52,1.31,51.5,6.5,13.9,0.6,0.136226397,0.205483892,0.453514728,0.701397761,0.79590495,0.698177812,0.530586863,0.0538933,0.092313631,0.194247462,0.328816438,0.38669481,0.233851564,0.209666866,0.316608214,0.374059327,0.528885464,0.702655763,0.752183615,0.689415973,0.564293852,1.317723602,1.529411903,2.966008606,7.211177482,9.002045193,5.79441562,4.781926669,0.0229417,0.040420886,0.010951528,0.012996849,0.011411211,0.00894149,0.012880389,133.7607442,0,0,0
8,Plot 1,20.5,1,41.3,0.11,40,47.8,1.0,53,7.0,51,0.98,,48,60,8,53.1,1.41,52,6,19.4,0.91,0.114670463,0.144322883,0.351704164,0.38352212,0.731747776,0.783209371,0.672940383,0.044218896,0.072473676,0.156108702,0.166374842,0.295987956,0.24482455,0.229211418,0.293092718,0.332091129,0.482166137,0.539328124,0.701217978,0.702484281,0.620888866,1.260319557,1.342181068,2.206402066,2.443476659,6.751559395,8.65435938,7.581545639,0.022025709,0.040597988,0.0087214,0.022759639,0.011805637,0.008506419,0.019309551,108.9797209,0,0,0
9,Plot 1,18.5,1.2,41.7,0.12,40,49.5,1.18,54,7.0,51.4,1.03,,49,61,8,53.8,1.43,53,7,25.4,1.1,0.14145295,0.24467774,0.532434284,0.704092507,0.714392961,0.680117092,0.566676139,0.057813959,0.104632145,0.225646199,0.320206296,0.325750122,0.217749403,0.202023587,0.329368653,0.396847966,0.57294995,0.701632348,0.710080103,0.657759025,0.560290701,1.332290319,1.677305766,3.569111104,6.392059539,6.22648649,5.550341353,4.158823125,0.027357237,0.042558508,0.009571254,0.013122211,0.013900969,0.009480908,0.016944734,52.80669767,0,0,0
10,Plot 1,17,1.5,42.2,0.12,41,50.4,1.19,56,7.0,51.5,1.14,,52,61,10,54.1,1.92,55,7,31.7,1.14,0.152858479,0.238321363,0.488402067,0.625835644,0.679771836,0.614357665,0.493947185,0.059756157,0.101382023,0.21154423,0.264634758,0.301518503,0.189704655,0.206088566,0.334115968,0.391843015,0.556742337,0.658096534,0.693547201,0.635540201,0.552657356,1.365608373,1.642122336,3.069733742,4.710961526,5.374022864,4.254616326,3.851696673,0.032691788,0.046340041,0.009427604,0.013865412,0.012617363,0.008325989,0.017431495,55.97023256,0,0,0
